id,combined_analyzed_json,preferredExperience_analyzed_json
15691,"[""rest"", ""api"", ""grpc"", ""net"", ""core"", ""c#"", ""culture"", ""fit"", ""nsuslab""]",[]
22845,"[""game"", ""backend"", ""platform"", ""user"", ""wallet"", ""system"", ""api"", ""integration"", ""data"", ""restfup"", ""message"", ""queue"", ""appserver"", ""socket"", ""base"", ""client"", ""session"", ""server"", ""status"", ""kotlin"", ""or"", ""java"", ""spring"", ""rdb"", ""nosql"", ""redis"", ""websocket"", ""aws"", ""cloud"", ""infrastructure"", ""culture"", ""fit"", ""nsuslab""]","[""websocket"", ""aws"", ""cloud"", ""infrastructure""]"
29304,"[""ux"", ""ui"", ""agile"", ""ios"", ""android"", ""jest"", ""detox"", ""restful"", ""api"", ""apple"", ""app"", ""store"", ""google"", ""play"", ""git"", ""typescript"", ""redux"", ""mobx"", ""ci"", ""cd"", ""aws"", ""figma"", ""storybook"", ""culture"", ""fit"", ""nsuslab""]","[""typescript"", ""redux"", ""mobx"", ""ci"", ""cd"", ""aws"", ""ui"", ""figma"", ""storybook""]"
26913,"[""platform"", ""domain"", ""bff"", ""api"", ""server"", ""backend"", ""nodejs"", ""javascript"", ""typescript"", ""msa"", ""admin"", ""system"", ""ux"", ""jira"", ""conflunce"", ""culture"", ""fit"", ""nsuslab""]","[""ux"", ""jira"", ""conflunce""]"
29551,"[""ai"", ""endpoint"", ""api"", ""llm"", ""elasticsearch"", ""langchain"", ""rag"", ""agent"", ""sql"", ""python""]","[""aws"", ""serverless"", ""k"", ""s"", ""snowflake"", ""llm""]"
16437,"[""wallet"", ""transaction"", ""integration"", ""jvm"", ""spring"", ""rest"", ""api"", ""modern"", ""java"", ""tdd"", ""cloud"", ""infrastructure"", ""culture"", ""fit"", ""nsuslab""]","[""modern"", ""java"", ""tdd"", ""cloud"", ""infrastructure""]"
29496,"[""java"", ""spring"", ""boot"", ""restful"", ""api""]","[""api"", ""aws"", ""docker"", ""kubernetes"", ""argocd"", ""ci"", ""cd"", ""confluence"", ""jira""]"
29374,"[""service"", ""container"", ""domain"", ""network"", ""net"", ""backend""]","[""linux"", ""docker"", ""s"", ""k"", ""i"", ""a""]"
29332,"[""mau"", ""rest"", ""grpc"", ""api""]","[""go"", ""python"", ""mysql"", ""dynamodb"", ""redis"", ""elasticsearch"", ""aws"", ""kubernetes"", ""cloud"", ""native""]"
29542,"[""ai"", ""naas"", ""nutrition"", ""as"", ""a"", ""service"", ""enterprise"", ""l"", ""s"", ""h"", ""p"", ""arr"", ""ces"", ""innovation"", ""awards"", ""b"", ""c"", ""ceo"", ""ota"", ""over"", ""the"", ""air"", ""iot"", ""ui"", ""ux"", ""restful"", ""api"", ""git""]","[""iot"", ""ota"", ""over"", ""the"", ""air""]"
29375,"[""ar"", ""registration"", ""point"", ""cloud"", ""surfaceregistration"", ""medical"", ""image"", ""multi"", ""modality"", ""non"", ""rigid"", ""c++"", ""python"", ""swift"", ""or""]","[""optical"", ""tracking"", ""system"", ""electromagnetic"", ""point"", ""cloud"", ""mesh"", ""processing"", ""s"", ""k"", ""i"", ""a""]"
10097,"[""api"", ""python"", ""flask"", ""fastapi"", ""mysql"", ""dynamodb"", ""airflow"", ""docker"", ""streamlit"", ""ml"", ""terraform"", ""aws"", ""spring"", ""framework""]",[]
27375,"[""saas"", ""devops"", ""azure"", ""aws"", ""ci"", ""cd"", ""kubernetes""]","[""scm"", ""srm"", ""msa"", ""it"", ""ai""]"
28411,"[""b"", ""c"", ""sql"", ""data"", ""analyst"", ""growth"", ""da"", ""scientist"", ""engineer"", ""bigquery"", ""lake"", ""google"", ""cloud"", ""superset"", ""redash"", ""a"", ""test"", ""pm"", ""business"", ""owner"", ""customer"", ""lifetime"", ""value"", ""retention"", ""cohort"", ""analsis"", ""ga"", ""tableau""]","[""agile"", ""a"", ""b"", ""python"", ""r""]"
15693,"[""plus"", ""team"", ""global"", ""poker"", ""game"", ""web"", ""o"", ""business"", ""online"", ""to"", ""offline"", ""wsop"", ""client"", ""api"", ""websocket"", ""asp.net"", ""mvc"", ""or"", ""core"", ""c#"", ""http"", ""rest"", ""mssql"", ""mysql"", ""entity"", ""framework"", ""database"", ""signalr"", ""socket"", ""aws"", ""azure"", ""kafka"", ""read"", ""time"", ""applicatoin"", ""culture"", ""fit"", ""nsuslab""]","[""entity"", ""framework"", ""database"", ""signalr"", ""web"", ""socket"", ""aws"", ""azure"", ""kafka"", ""read"", ""time"", ""applicatoin""]"
29493,"[""python"", ""java"", ""kubernetes"", ""docker"", ""airflow"", ""kafka""]","[""snowflake"", ""redshift"", ""bigquery"", ""mlops""]"
16039,"[""spring"", ""framework"", ""java"", ""restful"", ""api"", ""rdbms"", ""mysql"", ""ci"", ""cd"", ""msa"", ""aws"", ""redis"", ""kafka"", ""culture"", ""fit"", ""nsuslab""]","[""msa"", ""aws"", ""redis"", ""kafka""]"
22379,"[""react"", ""ux"", ""ui""]","[""react.js"", ""typescript"", ""tanstack"", ""query"", ""recoil"", ""redux"", ""vanilla"", ""extract"", ""webpack"", ""vite"", ""nx"", ""storybook"", ""github"", ""slack"", ""jira"", ""confluence"", ""pr"", ""actions"", ""eslint"", ""prettier""]"
29540,"[""android"", ""native"", ""sdk"", ""next.js"", ""hybrid""]","[""android"", ""sdk"", ""clean"", ""architecture"", ""ddd""]"
29541,"[""android"", ""native"", ""sdk"", ""next.js"", ""hybrid"", ""coroutine"", ""rxjava""]","[""android"", ""sdk"", ""clean"", ""architecture"", ""ddd""]"
29539,"[""java"", ""gradle"", ""data"", ""binding"", ""mvvm"", ""rxjava"", ""realm"", ""room"", ""offline"", ""first"", ""app"", ""android"", ""ios"", ""web"", ""ui"", ""application"", ""legacy""]","[""ar"", ""vr"", ""machine"", ""learning"", ""deep"", ""ios"", ""frontend""]"
29538,"[""ai"", ""ios"", ""androidos"", ""avfoundation"", ""coregraphics"", ""corevideo"", ""coreimage"", ""coreaudio"", ""imageio"", ""ffmpeg"", ""visual"", ""effects"", ""macos"", ""vulkan"", ""webgl""]","[""machine"", ""learning"", ""deep"", ""ar"", ""vr"", ""ios"", ""android""]"
29537,"[""pm"", ""backend"", ""node.js"", ""typescript"", ""postgresql"", ""server""]","[""api"", ""webcomic""]"
29535,"[""msp"", ""sre"", ""pm"", ""lsp""]",[]
15687,"[""np"", ""team"", ""igaming"", ""agent"", ""affiliate"", ""asp.net"", ""core"", ""api"", ""ux"", ""aws"", ""azure"", ""culture"", ""fit"", ""nsuslab""]","[""api"", ""aws"", ""azure""]"
29536,"[""l"", ""ca"", ""it""]","[""csp"", ""aws"", ""gcp"", ""azure"", ""sddc"", ""sdn"", ""l""]"
29533,"[""mobile"", ""native"", ""app"", ""flutter"", ""web"", ""react"", ""js"", ""next"", ""back"", ""end"", ""java"", ""kotlin"", ""python"", ""spring"", ""framework"", ""jpa"", ""jooq"", ""front"", ""typescript"", ""next.js"", ""dart"", ""cloud"", ""infra"", ""aws"", ""ecs"", ""database"", ""mysql"", ""mongodb"", ""tool"", ""bitbucket"", ""jira"", ""confluence"", ""google"", ""workspace"", ""macbook"", ""application"", ""html"", ""css"", ""javascript"", ""ts"", ""angular"", ""vue""]",[]
29532,"[""nw"", ""application"", ""hw"", ""sw"", ""dr"", ""windows"", ""it""]","[""erp"", ""nw""]"
29501,"[""ha"", ""scalability"", ""consistency"", ""gcp"", ""docker"", ""kubernetes"", ""git"", ""ci"", ""cd"", ""restful"", ""api"", ""rdbms"", ""nosql""]","[""node"", ""js"", ""express"", ""nestjs"", ""typescript"", ""mysql"", ""postgresql"", ""docker"", ""kuerbernetes"", ""aws"", ""gcp"", ""azure""]"
28571,"[""wms"", ""java"", ""spring"", ""boot"", ""jpa"", ""mysql"", ""querydsl"", ""db"", ""github""]","[""javascript"", ""react"", ""docker"", ""kafka"", ""redis""]"
29531,"[""ui"", ""ux"", ""next"", ""js"", ""aws""]","[""ui"", ""ux""]"
29528,"[""vue.js"", ""sdk"", ""react"", ""typescript"", ""pm"", ""cs"", ""computer"", ""science"", ""html"", ""css"", ""pure"", ""javascript"", ""es"", ""vue"", ""angular""]","[""graphql"", ""grpc"", ""storybook""]"
29492,"[""python"", ""java"", ""aws"", ""gcp"", ""kubernetes"", ""docker"", ""airflow""]",[]
29530,"[""dbpia"", ""krpia"", ""ai"", ""idea"", ""citeasy"", ""rag"", ""llm"", ""nlp"", ""transformer"", ""ml"", ""tensorflow"", ""pytorch"", ""pandas"", ""numpy"", ""matplotlib""]",[]
29529,"[""dbpia"", ""krpia"", ""ai"", ""idea"", ""citeasy"", ""poc"", ""front"", ""end"", ""cross"", ""platform"", ""idc"", ""aws"", ""spring"", ""mvc"", ""java"", ""boot"", ""restful"", ""api"", ""git"", ""svn"", ""bitbucket"", ""sql"", ""devops"", ""ci"", ""cd"", ""pipeline""]",[]
28586,"[""vue.js"", ""or"", ""react"", ""react native"", ""flutter"", ""native"", ""java"", ""springboot"", ""aws""]",[]
29534,"[""data"", ""driven"", ""kpi"", ""deep"", ""dive"", ""content"", ""aws"", ""gcp"", ""bigquery"", ""looker"", ""studio"", ""google data studio"", ""jupyter"", ""notebook"", ""python"", ""etc"", ""mysql"", ""postgredb"", ""database"", ""mongodb"", ""tool"", ""bitbucket"", ""jira"", ""confluence"", ""google"", ""workspace"", ""macbook"", ""sql"", ""raw"", ""r""]","[""tableau"", ""quicksight"", ""redash"", ""r"", ""python""]"
29525,"[""server"", ""mobile"", ""app"", ""api"", ""git"", ""jira""]","[""nodejs"", ""aws"", ""jira"", ""notion""]"
29524,"[""llm"", ""gpt"", ""transformer"", ""fine"", ""tuning"", ""nlp"", ""poc"", ""proof"", ""of"", ""concept"", ""clipo"", ""ml"", ""ops"", ""ai"", ""bert"", ""pytorch"", ""tensorflow"", ""tokenization"", ""a"", ""b"", ""bleu"", ""rouge"", ""edtech""]","[""edtech"", ""ml"", ""lms"", ""docker"", ""kubernetes"", ""aws"", ""gcp"", ""airflow"", ""llm"", ""prompt"", ""engineering"", ""rag"", ""quantization"", ""pruning"", ""reinforcement"", ""learning"", ""with"", ""human"", ""feedback"", ""rlhf"", ""acl"", ""neurips"", ""icml"", ""iclr"", ""ai""]"
29474,"[""aws"", ""mysql"", ""rds"", ""db"", ""jenkins"", ""ecs"", ""dbms"", ""ci"", ""cd""]","[""kubanetes"", ""aws"", ""dbms""]"
26429,"[""kubernetes"", ""istio"", ""ci"", ""cd"", ""lgtm"", ""loki"", ""grafana"", ""tempo"", ""mimir"", ""terraform"", ""gitops"", ""iac"", ""compliance"", ""aws"", ""java"", ""go"", ""python"", ""node.js"", ""e.g.""]","[""istio"", ""service"", ""mesh"", ""compliance"", ""on"", ""premise"", ""idp"", ""internal"", ""developer"", ""platform"", ""e.g."", ""backstage""]"
29523,"[""tps"", ""d"", ""tooldi"", ""ui"", ""ux"", ""ai"", ""api"", ""http"", ""t"", ""ooldi.com"", ""react.js"", ""next.js"", ""typescript"", ""styled-components"", ""zustand"", ""eslint"", ""prettier"", ""git"", ""github"", ""aws"", ""s"", ""ec"", ""mysql"", ""php"", ""agile""]","[""ui"", ""ux"", ""canvas"", ""svg"", ""figma"", ""jira"", ""confleunce""]"
28024,"[""kt"", ""sk"", ""ls"", ""nh"", ""mg"", ""sm"", ""c"", ""backend"", ""java"", ""springboot"", ""python"", ""php"", ""mysql"", ""mariadb"", ""aws""]",[]
29519,"[""qa"", ""qc"", ""web"", ""end"", ""to""]","[""web"", ""pl""]"
29520,"[""product"", ""ux"", ""ui"", ""html"", ""css"", ""scss"", ""javascript"", ""git"", ""url""]",[]
28929,"[""digital"", ""transformation"", ""b"", ""aws"", ""it"", ""docker"", ""kubernetes"", ""amazon"", ""eks""]","[""backend"", ""ci"", ""cd"", ""git"", ""infrastructure"", ""as"", ""code"", ""iac""]"
29518,"[""flutter""]","[""flutter""]"
29499,"[""tl"", ""technical"", ""leader"", ""java"", ""or"", ""kotlin"", ""gradle"", ""spring"", ""boot"", ""w"", ""jpa"", ""eureka"", ""openfeign"", ""amazon"", ""aurora"", ""mysql"", ""junit"", ""kubernetes"", ""argo cd"", ""elk"", ""stack"", ""redis"", ""qa""]","[""srs"", ""sdd""]"
28680,"[""emr"", ""electric"", ""medical"", ""record"", ""windows"", ""client"", ""c"", ""c#"", ""wpf"", ""mvvm"", ""pattern"", ""xaml"", ""ui"", ""library"", ""devexpress"", ""telerik"", ""custom"", ""control"", ""net"", ""framework"", ""server"", ""restful"", ""git""]","[""emr"", ""application""]"
29500,"[""slowtalk"", ""ai"", ""gps"", ""iot"", ""slow"", ""platform"", ""back"", ""end"", ""engineer"", ""devops"", ""python"", ""msa"", ""architecture""]","[""cloud"", ""golang"", ""kubernetes"", ""kafka"", ""spring"", ""framework"", ""frontend""]"
29471,"[""unreal"", ""engine"", ""ablur""]","[""unrealengine"", ""c++"", ""d"", ""sketchup"", ""blender""]"
29497,"[""crm"", ""python"", ""flask"", ""backend"", ""rest"", ""api"", ""aws"", ""rdbms"", ""maria"", ""mysql"", ""orm"", ""git"", ""jira""]","[""docker"", ""kubernetes"", ""linux"", ""mac"", ""os"", ""redis"", ""celery"", ""ci"", ""cd"", ""crm"", ""emr""]"
16048,"[""ethereum"", ""solana"", ""cross"", ""chain"", ""solidity"", ""rust"", ""python"", ""javascript"", ""hardhat"", ""foundry"", ""blockchain"", ""public"", ""hash""]","[""rust"", ""solana"", ""evm"", ""substrate"", ""web"", ""js"", ""py"", ""python"", ""java"", ""back"", ""end"", ""rest"", ""api"", ""react"", ""next.js"", ""front""]"
15923,"[""qa"", ""pm"", ""playwright"", ""github"", ""slack"", ""confluence"", ""jira"", ""redmine""]","[""qa"", ""playwright"", ""e"", ""test"", ""istqb"", ""csts"", ""api"", ""sql"", ""checkly""]"
26099,"[""customer"", ""on"", ""preminfrastructureengineer"", ""devops"", ""prem"", ""premise"", ""linux"", ""windows"", ""it"", ""ai""]","[""ai""]"
29491,"[""cve"", ""edb"", ""c"", ""tas"", ""web"", ""application""]","[""python"", ""c++""]"
29490,"[""aws"", ""gcp"", ""cloud"", ""native"", ""airflow"", ""scheduler"", ""prefect"", ""oozie"", ""cs"", ""os""]","[""kubernetes"", ""airflow"", ""spark""]"
29495,"[""acon"", ""nestjs"", ""spring"", ""boot"", ""kotlin"", ""typescript"", ""legacy"", ""ex"", ""press.js"", ""javascript"", ""mysql"", ""postgresql"", ""redis"", ""aws"", ""kubernetes"", ""github"", ""argocd"", ""grafana"", ""azure"", ""apache"", ""kafka"", ""amazon"", ""opensearch"", ""elasticsearch"", ""java"", ""data"", ""jpa"", ""querydsl"", ""oop"", ""restful"", ""api"", ""rdbms""]","[""nestjs"", ""typescript""]"
15860,"[""tcp"", ""ip"", ""c"", ""shell"", ""script"", ""python"", ""git"", ""mantis"", ""slack"", ""gerrit"", ""jenkins"", ""selenium"", ""linux"", ""kernel""]","[""gdb"", ""crash"", ""git""]"
29486,"[""mvp"", ""api""]","[""python"", ""mysql"", ""dynamodb"", ""redis"", ""aws"", ""kubernetes""]"
26459,"[""it"", ""sql"", ""python"", ""hadoop"", ""spark"", ""presto""]","[""a"", ""b"", ""aws athena"", ""emr"", ""hive"", ""presto"", ""jupyter"", ""airflow"", ""tableau"", ""power"", ""bi"", ""redash"", ""datakitchen"", ""github""]"
29487,"[""next.js"", ""react"", ""jest"", ""ui"", ""ux"", ""tailwind"", ""css"", ""figma"", ""vue.js"", ""typescript"", ""a"", ""b"", ""datadog"", ""rum"", ""sentry"", ""google"", ""analytics""]","[""monorepo"", ""turborepo"", ""lerna"", ""yarn"", ""workspace"", ""a"", ""b""]"
29476,"[""api"", ""software"", ""backend"", ""database"", ""rdb"", ""nosql"", ""html"", ""css"", ""javascript"", ""typescript"", ""frontend""]","[""react"", ""next"", ""js"", ""framework"", ""mongo"", ""db"", ""graphql"", ""nosql"", ""mvp""]"
29488,"[""wpf"", ""c"", ""ui"", ""ux"", ""git""]","[""mvvm"", ""signalr"", ""xaml"", ""custom"", ""control""]"
10437,"[""g"", ""etpip.com"", ""web"", ""sns"", ""digital"", ""contents"", ""creator"", ""token"", ""unbounded"", ""global"", ""micoropayment"", ""neutral"", ""database"", ""login"", ""less"", ""frictionless"", ""ux"", ""coinbase"", ""ventures"", ""galaxy"", ""alameda"", ""research"", ""cms"", ""hodings"", ""genesis"", ""block"", ""vc"", ""react"", ""html"", ""css"", ""sass"", ""redux"", ""rest"", ""api"", ""websocket"", ""git"", ""slack"", ""notion""]","[""aws"", ""oauth"", ""html"", ""eslint"", ""react query"", ""zustand"", ""custom"", ""hook"", ""sentry"", ""intermediate""]"
29489,"[""aws"", ""gcp"", ""cloud"", ""native"", ""airflow"", ""scheduler"", ""prefect"", ""oozie"", ""cs"", ""os""]","[""kubernetes"", ""airflow"", ""spark""]"
29483,"[""golang"", ""flutter""]",[]
9329,"[""g"", ""etpip.com"", ""web"", ""sns"", ""digital"", ""contents"", ""creator"", ""token"", ""unbounded"", ""global"", ""micoropayment"", ""neutral"", ""database"", ""login"", ""less"", ""frictionless"", ""ux"", ""coinbase"", ""ventures"", ""galaxy"", ""alameda"", ""research"", ""cms"", ""hodings"", ""genesis"", ""block"", ""vc"", ""nodejs"", ""redis"", ""mysql"", ""aws"", ""linux"", ""tdd""]","[""intermediate""]"
27018,"[""three.js"", ""typescript"", ""d"", ""ai"", ""ui"", ""ux"", ""webgl"", ""react""]","[""three.js"", ""d"", ""msa"", ""bff"", ""backend"", ""for"", ""frontend"", ""computer"", ""vision"", ""graphics"", ""mvp""]"
27017,"[""spring"", ""framework"", ""kotlin"", ""boot"", ""aws"", ""kubernetes"", ""java"", ""python"", ""backend"", ""database"", ""rdb"", ""nosql"", ""msa"", ""rest"", ""grpc""]","[""spring"", ""batch"", ""sdlc"", ""mvp""]"
10695,"[""bff"", ""backend"", ""for"", ""frontend"", ""react"", ""typescript"", ""ssr"", ""msa"", ""spa"", ""framework""]","[""ci"", ""cd"", ""mvp"", ""bff"", ""backend"", ""for"", ""frontend""]"
29371,"[""app"", ""swift""]","[""dicom"", ""d"", ""rendering"", ""shader"", ""volume"", ""s"", ""k"", ""i"", ""a""]"
28059,"[""programmatic"", ""buying"", ""automated"", ""buyingreal"", ""time"", ""bidding"", ""rtb"", ""data"", ""driven"", ""targetingreporting"", ""and"", ""analytics"", ""api"", ""ml"", ""backend"", ""kotlin"", ""java"", ""go"", ""dsp"", ""ssp"", ""dmp"", ""ads"", ""server"", ""sql"", ""nosql""]","[""rtb"", ""programmatic"", ""hadoop"", ""spark"", ""druid"", ""flink"", ""aws"", ""public"", ""cloud"", ""mvp"", ""sdlc""]"
10698,"[""msa"", ""re"", ""architecting"", ""spring"", ""framework"", ""kotlin"", ""ruby on rails"", ""java"", ""python"", ""ruby"", ""rdbms"", ""nosql""]","[""sdlc"", ""mvp"", ""aws"", ""public"", ""cloud""]"
10696,"[""bff"", ""backend"", ""for"", ""frontend"", ""react"", ""typescript"", ""ssr"", ""msa"", ""spa"", ""framework""]","[""ci"", ""cd"", ""mvp"", ""bff"", ""backend"", ""for"", ""frontend""]"
29436,"[""data"", ""analyst"", ""intern"", ""scientist"", ""kpi"", ""sql"", ""redash"", ""tableau"", ""raw""]","[""python"", ""tableau"", ""redash""]"
10697,"[""api"", ""msa"", ""re"", ""architecting"", ""spring"", ""framework"", ""kotlin"", ""golang"", ""grpc"", ""ruby on rails"", ""java"", ""python"", ""ruby"", ""public"", ""cloud"", ""sdlc""]","[""mvp"", ""aws"", ""public"", ""cloud""]"
28593,"[""tb"", ""ai"", ""gpt"", ""os"", ""cs"", ""git"", ""branch"", ""python"", ""sql"", ""hive"", ""aws"", ""de"", ""java"", ""sqldatabricks"", ""glue"", ""athena"", ""mskapache"", ""airflow"", ""apache"", ""sparkdatahub""]","[""databricks"", ""delta"", ""lake"", ""iceberg"", ""hudi"", ""lakehouse"", ""kubernetes"", ""eco"", ""system""]"
10687,"[""offline"", ""online"", ""python"", ""scala"", ""c"", ""c++""]",[]
29470,"[""cms"", ""aws"", ""gcp"", ""azure"", ""python"", ""django"", ""framework""]","[""django"", ""framework"", ""amazon"", ""athena"", ""airflow"", ""mysql"", ""dynamodb"", ""redis"", ""elasticsearch""]"
28747,"[""ai"", ""sw"", ""system"", ""machine"", ""vision"", ""model"", ""python"", ""java"", ""javascript"", ""c"", ""css"", ""fullstack"", ""spark"", ""airflow"", ""rdbms"", ""db"", ""aws"", ""cloud"", ""server"", ""database""]","[""ai"", ""database"", ""rdb"", ""or"", ""non""]"
29469,"[""it"", ""rdbms"", ""nosql"", ""cloud"", ""aws"", ""gcp"", ""azure"", ""linux"", ""server"", ""db""]","[""db"", ""schema"", ""rest"", ""api"", ""java"", ""python"", ""al"", ""ml"", ""elastic"", ""stack"", ""pm"", ""certified"", ""engineer"", ""tuning"", ""hadoop"", ""component"", ""it"", ""spring""]"
29485,"[""mvp"", ""api""]","[""python"", ""mysql"", ""dynamodb"", ""redis"", ""aws"", ""kubernetes""]"
29460,"[""ads"", ""api"", ""software"", ""backend"", ""database"", ""rdb"", ""nosql"", ""html"", ""css"", ""javascript"", ""typescript"", ""frontend""]","[""react"", ""next"", ""js"", ""framework"", ""mongo"", ""db"", ""graphql"", ""nosql"", ""mvp"", ""contents"", ""editor""]"
29373,"[""dicom"", ""processor"", ""unity"", ""application"", ""c#""]","[""dicom"", ""d"", ""rendering"", ""shader"", ""volume"", ""s"", ""k"", ""i"", ""a""]"
29426,"[""qa""]","[""mvp"", ""qa"", ""jira"", ""slack"", ""confluence"", ""istqb"", ""csts"", ""appium"", ""playwright"", ""selenium"", ""python"", ""javascript"", ""ai"", ""api"", ""postman""]"
29478,"[""azar"", ""studio"", ""responsibilities"", ""feature"", ""api"", ""qa"", ""weak"", ""code"", ""ownership"", ""collective"", ""review"", ""pull"", ""request"", ""troubleshooting"", ""crash"", ""responsiveness"", ""architectural"", ""improvement"", ""android"", ""java"", ""kotlin"", ""jvm"", ""cs"", ""rxjava"", ""coroutine"", ""thread"", ""safe"", ""git""]","[""repository"", ""pattern"", ""mvvm"", ""clean"", ""architecture"", ""compose"", ""unit"", ""mocking"", ""webrtc""]"
29339,"[""e"", ""commerce"", ""content"", ""serving"", ""mysql"", ""mongodb""]","[""redis"", ""nosql"", ""data"", ""system"", ""engineering""]"
10688,"[""offline"", ""online"", ""ai"", ""ml""]","[""end"", ""to"", ""process""]"
14672,"[""ml"", ""text"", ""to"", ""x"", ""image"", ""d"", ""room"", ""plan"", ""etc."", ""vlm"", ""diffusion"", ""llm"", ""python"", ""c"", ""c++""]","[""aws"", ""rag"", ""cv"", ""ml""]"
10689,"[""etl"", ""e.g."", ""public"", ""cloud""]","[""ml"", ""e""]"
24106,"[""angular"", ""react"", ""monorepo"", ""next.js"", ""html"", ""css"", ""typescript"", ""javascript"", ""es""]","[""angular"", ""flux"", ""next.js"", ""ssr"", ""ssg"", ""isr"", ""webview"", ""bridge"", ""interface"", ""unit"", ""e"", ""docker"", ""kubernetes""]"
4194,"[""qa"", ""appium"", ""playwright"", ""selenium""]","[""mvp"", ""qa"", ""jira"", ""slack"", ""confluence"", ""istqb"", ""csts"", ""ai"", ""python"", ""javascript"", ""api"", ""postman"", ""jmeter"", ""ngrinder""]"
