id,combined_Languages,preferred_Languages,combined_Frameworks,preferred_Frameworks,combined_Libraries,preferred_Libraries,combined_Tools,preferred_Tools
26429,"['Go', 'Python', 'Java']",없음,없음,없음,없음,없음,"['AWS', 'Terraform', 'Kubernetes', 'Grafana']",없음
29474,없음,없음,없음,없음,없음,없음,['AWS'],['AWS']
28680,['C#'],없음,없음,없음,없음,없음,['Git'],없음
29523,['TypeScript'],없음,없음,없음,없음,없음,['Git'],없음
29524,없음,없음,['TensorFlow'],없음,"['TensorFlow', 'PyTorch']",없음,없음,"['Docker', 'GCP', 'Kubernetes', 'AWS']"
29397,없음,없음,없음,없음,없음,없음,없음,없음
28929,없음,없음,없음,없음,없음,없음,"['Docker', 'AWS', 'Kubernetes']",['Git']
29519,없음,없음,없음,없음,없음,없음,없음,없음
29520,없음,없음,없음,없음,없음,없음,['Git'],없음
29518,없음,없음,['Flutter'],['Flutter'],없음,없음,없음,없음
29499,"['Kotlin', 'Java']",없음,['Spring Boot'],없음,없음,없음,"['MySQL', 'Kubernetes', 'Redis']",없음
29471,없음,없음,없음,없음,없음,없음,없음,없음
29500,['Python'],없음,없음,['Spring'],없음,없음,없음,['Kubernetes']
16048,"['Python', 'Rust']","['Rust', 'Python', 'Java']",없음,['React'],없음,없음,없음,없음
29497,['Python'],없음,['Flask'],없음,없음,없음,"['AWS', 'Git']","['Docker', 'Kubernetes', 'Redis']"
15923,없음,없음,없음,없음,없음,없음,['Slack'],없음
29496,['Java'],없음,"['Spring', 'Spring Boot']",없음,없음,없음,없음,"['Docker', 'AWS', 'Kubernetes']"
29495,"['Kotlin', 'Java']",없음,"['Spring', 'Spring Boot']",없음,없음,없음,"['Elasticsearch', 'Redis', 'AWS', 'Azure', 'MySQL', 'Kubernetes', 'PostgreSQL', 'Grafana']",없음
26099,없음,없음,없음,없음,없음,없음,없음,없음
29491,없음,['Python'],없음,없음,없음,없음,없음,없음
29490,없음,없음,없음,['Spark'],없음,없음,"['GCP', 'AWS']",['Kubernetes']
29489,없음,없음,없음,['Spark'],없음,없음,"['GCP', 'AWS']",['Kubernetes']
9329,없음,없음,없음,없음,없음,없음,"['AWS', 'Redis']",없음
15860,['Python'],없음,없음,없음,없음,없음,"['Slack', 'Jenkins', 'Git']",['Git']
29486,없음,['Python'],없음,없음,없음,없음,없음,"['AWS', 'Kubernetes', 'Redis', 'MySQL']"
29488,없음,없음,없음,없음,없음,없음,['Git'],없음
10437,없음,없음,['React'],['React'],없음,없음,"['Slack', 'Git']",['AWS']
26459,['Python'],없음,['Spark'],없음,없음,없음,없음,"['Tableau', 'AWS', 'Jupyter']"
29476,"['JavaScript', 'TypeScript']",없음,없음,['React'],없음,없음,없음,없음
29485,없음,['Python'],없음,없음,없음,없음,없음,"['AWS', 'Kubernetes', 'Redis', 'MySQL']"
29487,없음,없음,"['Vue.js', 'React']",없음,없음,없음,없음,없음
27018,['TypeScript'],없음,['React'],없음,['Three.js'],['Three.js'],없음,없음
29371,['Swift'],없음,없음,없음,없음,없음,없음,없음
10695,['TypeScript'],없음,['React'],없음,없음,없음,없음,없음
27017,"['Kotlin', 'Python', 'Java']",없음,"['Spring', 'Spring Boot']",없음,['gRPC'],없음,"['AWS', 'Kubernetes']",없음
29483,없음,없음,['Flutter'],없음,없음,없음,없음,없음
29480,없음,없음,없음,없음,없음,없음,없음,없음
29373,없음,없음,없음,없음,없음,없음,없음,없음
29482,없음,없음,없음,없음,없음,없음,없음,없음
29481,없음,없음,없음,없음,없음,없음,없음,['Kubernetes']
10698,"['Kotlin', 'Python', 'Java', 'Ruby']",없음,['Ruby on Rails'],없음,없음,없음,없음,['AWS']
10697,"['Kotlin', 'Python', 'Java', 'Ruby']",없음,"['Ruby on Rails', 'Spring']",없음,['gRPC'],없음,없음,['AWS']
10687,"['Python', 'Scala']",없음,없음,없음,없음,없음,없음,없음
29436,없음,['Python'],없음,없음,없음,없음,['Tableau'],['Tableau']
29460,"['JavaScript', 'TypeScript']",없음,없음,['React'],없음,없음,없음,없음
29478,"['Kotlin', 'Java']",없음,없음,없음,없음,없음,['Git'],없음
29290,없음,없음,['TensorFlow'],없음,"['TensorFlow', 'PyTorch']",없음,없음,없음
10696,['TypeScript'],없음,['React'],없음,없음,없음,없음,없음
28059,"['Kotlin', 'Go', 'Java']",없음,없음,['Spark'],없음,없음,없음,['AWS']
28593,"['Python', 'Java']",없음,없음,없음,없음,없음,"['AWS', 'Git']",['Kubernetes']
28747,"['Python', 'Java']",없음,없음,없음,없음,없음,['AWS'],없음
28294,없음,없음,없음,없음,없음,없음,없음,없음
29393,"['Kotlin', 'Swift']",없음,['Flutter'],없음,없음,없음,['Git'],없음
29470,['Python'],없음,['Django'],['Django'],없음,없음,"['GCP', 'Azure', 'AWS']","['Elasticsearch', 'MySQL', 'Redis']"
29469,없음,"['Python', 'Java']",없음,['Spring'],없음,없음,"['GCP', 'AWS']",없음
29426,없음,['Python'],없음,없음,없음,없음,없음,"['JIRA', 'Slack', 'Postman']"
14672,['Python'],없음,없음,없음,없음,없음,없음,['AWS']
10688,없음,없음,없음,없음,없음,없음,없음,없음
10689,없음,없음,없음,없음,없음,없음,없음,없음
29462,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,"['Docker', 'Kubernetes']","['Elasticsearch', 'AWS', 'MongoDB']"
24106,['TypeScript'],없음,"['Angular', 'React']",['Angular'],없음,없음,없음,"['Docker', 'Kubernetes']"
4194,없음,['Python'],없음,없음,없음,없음,없음,"['JIRA', 'Slack', 'Postman']"
29463,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,"['Docker', 'Kubernetes']","['Elasticsearch', 'AWS', 'MongoDB']"
29339,없음,없음,없음,없음,없음,없음,"['MySQL', 'MongoDB']",['Redis']
11389,['Scala'],없음,없음,없음,없음,없음,없음,없음
29456,['Python'],없음,없음,없음,없음,없음,없음,"['Docker', 'Kubernetes']"
29467,['TypeScript'],없음,없음,없음,없음,없음,['MySQL'],['AWS']
29464,"['Kotlin', 'Java']",없음,없음,없음,없음,없음,['Git'],"['Elasticsearch', 'AWS', 'MongoDB']"
29465,"['JavaScript', 'TypeScript']",없음,['React'],['Express'],없음,없음,없음,"['AWS', 'MySQL']"
29468,['TypeScript'],없음,['React'],없음,없음,없음,['MySQL'],['AWS']
29466,"['JavaScript', 'TypeScript']",없음,['React'],['Express'],없음,없음,없음,"['AWS', 'MySQL']"
22346,"['C++', 'Python']","['Kotlin', 'Swift']",없음,없음,없음,없음,없음,없음
22402,"['Kotlin', 'Java']",없음,없음,없음,없음,없음,없음,없음
1735,"['Kotlin', 'Python', 'Java', 'TypeScript']",없음,['Spring'],없음,없음,없음,"['Ansible', 'Redis', 'Git', 'AWS', 'MySQL', 'Slack']",['AWS']
26179,없음,없음,['React'],없음,없음,없음,없음,없음
25228,없음,없음,없음,없음,없음,없음,없음,['Postman']
19941,['Python'],없음,없음,없음,없음,없음,없음,없음
19940,없음,없음,없음,없음,없음,없음,없음,없음
28952,없음,없음,['React'],없음,없음,없음,없음,"['GCP', 'AWS']"
19852,없음,없음,없음,없음,없음,없음,없음,없음
28621,없음,없음,없음,없음,없음,없음,"['AWS', 'Slack', 'Git']",없음
28937,['Python'],없음,['Django'],없음,없음,없음,['Slack'],['AWS']
2385,없음,없음,없음,없음,없음,없음,없음,없음
29454,"['JavaScript', 'TypeScript']",없음,없음,없음,없음,없음,"['AWS', 'Git']",없음
15890,['TypeScript'],없음,['React'],없음,없음,없음,['Git'],없음
29452,"['Go', 'Python', 'Java']",['Python'],"['Django', 'Spring']",['Django'],없음,없음,"['Docker', 'Redis', 'AWS', 'MySQL', 'Terraform', 'Kubernetes', 'GCP', 'MongoDB']","['Docker', 'AWS', 'Terraform', 'Kubernetes', 'GCP', 'MongoDB']"
28940,없음,없음,없음,없음,없음,없음,['AWS'],없음
28468,['JavaScript'],없음,없음,없음,없음,없음,['Git'],['Git']
29437,없음,없음,없음,없음,없음,없음,없음,없음
26824,"['Kotlin', 'Go', 'Java']",['Go'],없음,없음,없음,없음,없음,['Kubernetes']
22505,없음,"['Kotlin', 'Rust', 'Dart']",없음,"['Flutter', 'Spring']",없음,없음,없음,"['MySQL', 'Redis']"
29433,없음,없음,없음,없음,없음,없음,없음,없음
9175,없음,없음,['Django'],없음,없음,없음,"['Docker', 'Redis', 'AWS', 'Azure', 'GCP']",없음
18455,['Python'],없음,"['Django', 'FastAPI', 'Spring Boot']",없음,없음,없음,없음,"['Docker', 'Redis', 'AWS', 'Azure', 'Kubernetes', 'GCP']"
29423,없음,없음,없음,['Spark'],없음,없음,"['GCP', 'AWS']",['Kubernetes']
29429,['Python'],없음,없음,없음,없음,없음,['Docker'],없음
28865,['Java'],없음,['Spring'],없음,없음,없음,"['MySQL', 'Git']",['Redis']
29417,['TypeScript'],없음,['React'],없음,없음,['Axios'],['Git'],없음
29304,없음,없음,없음,없음,없음,없음,"['AWS', 'Git']",['AWS']
27511,['Python'],없음,없음,없음,없음,없음,['Kubernetes'],없음
29416,['Python'],없음,['Keras'],없음,['Keras'],없음,없음,없음
14746,['PHP'],없음,없음,없음,없음,없음,['MySQL'],없음
29418,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,없음,"['Docker', 'Kubernetes']"
29398,['Python'],없음,['Django'],없음,없음,없음,없음,['AWS']
1371,['Python'],없음,['Django'],없음,없음,없음,['MySQL'],['AWS']
13531,없음,없음,['React'],['React'],없음,없음,['Git'],없음
9206,없음,없음,없음,없음,없음,없음,"['Grafana', 'Kubernetes', 'MongoDB', 'Git']",['Kubernetes']
29402,"['JavaScript', 'TypeScript']",없음,"['Angular', 'React']",없음,없음,없음,없음,없음
29403,"['JavaScript', 'TypeScript']",없음,"['Angular', 'React']",없음,없음,없음,없음,없음
29400,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,없음,없음
29401,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,없음,없음
29399,없음,"['Go', 'TypeScript']",없음,없음,없음,없음,"['AWS', 'MySQL', 'MongoDB']",['AWS']
14892,['Java'],없음,['Spring'],없음,없음,없음,없음,['AWS']
28503,없음,없음,없음,없음,없음,없음,없음,없음
27061,없음,없음,['Flutter'],없음,없음,없음,['AWS'],['AWS']
21644,없음,없음,없음,없음,없음,없음,없음,없음
29388,없음,없음,없음,없음,없음,없음,없음,없음
29386,없음,없음,없음,['React'],없음,없음,없음,없음
29382,없음,없음,없음,없음,없음,없음,없음,없음
29385,없음,없음,없음,없음,없음,없음,없음,없음
29381,없음,없음,없음,없음,없음,없음,없음,없음
17194,"['Python', 'Java']",없음,없음,없음,없음,없음,"['Azure', 'Kubernetes', 'Slack']",없음
28609,없음,없음,없음,없음,없음,없음,없음,['AWS']
29363,없음,없음,없음,없음,없음,없음,없음,없음
29380,"['Kotlin', 'Java']",없음,없음,없음,없음,없음,없음,"['Docker', 'Kubernetes']"
29210,없음,없음,없음,없음,없음,없음,없음,없음
29372,['Go'],"['Go', 'Python']",없음,없음,['gRPC'],없음,"['Terraform', 'Redis', 'Kubernetes']",['MongoDB']
28755,없음,"['Go', 'Python', 'Java']",없음,없음,없음,없음,"['AWS', 'MySQL']",['AWS']
29361,['Python'],없음,['Django'],없음,없음,없음,"['AWS', 'Git']",없음
28674,없음,"['Go', 'Python']",없음,없음,['gRPC'],없음,없음,"['AWS', 'Kubernetes', 'Redis', 'MySQL']"
29360,['Java'],없음,없음,없음,없음,없음,없음,"['AWS', 'Azure']"
29357,['TypeScript'],없음,"['Vue.js', 'React']",없음,['jQuery'],없음,"['AWS', 'Slack', 'Git']",없음
29355,없음,없음,없음,없음,없음,없음,"['AWS', 'MongoDB']",['Elasticsearch']
6647,없음,없음,없음,없음,없음,없음,['AWS'],"['JIRA', 'Slack']"
27815,['JavaScript'],없음,"['Angular', 'React']",없음,없음,없음,없음,없음
29353,['JavaScript'],['TypeScript'],없음,없음,없음,없음,없음,없음
29351,없음,없음,['Spring'],없음,없음,없음,없음,없음
1207,없음,['PHP'],없음,"['Laravel', 'React']",없음,없음,없음,['MongoDB']
29341,"['JavaScript', 'TypeScript']",없음,['React'],없음,없음,없음,없음,['Docker']
29359,['Python'],없음,없음,없음,['PyTorch'],없음,"['Docker', 'AWS']","['Docker', 'GCP', 'AWS']"
29350,['Python'],없음,없음,없음,없음,없음,없음,없음
28565,"['R', 'Python']",없음,없음,없음,없음,없음,없음,없음
29321,없음,없음,없음,없음,없음,없음,['AWS'],없음
27808,['TypeScript'],없음,['React'],없음,없음,없음,['Git'],['Slack']
29291,없음,없음,['React'],없음,없음,없음,['AWS'],없음
20779,"['JavaScript', 'TypeScript']",없음,['React'],"['Vue.js', 'React']",없음,없음,['Git'],없음
29324,없음,없음,없음,없음,없음,없음,['AWS'],없음
22467,['Swift'],없음,없음,없음,없음,없음,없음,없음
13001,없음,없음,없음,없음,없음,없음,없음,없음
26894,없음,없음,없음,없음,없음,없음,없음,없음
15691,없음,없음,없음,없음,없음,없음,없음,없음
29292,없음,없음,없음,없음,없음,없음,"['Docker', 'Redis', 'AWS', 'MySQL', 'Kubernetes']","['Docker', 'Kubernetes', 'Redis']"
16039,['Java'],없음,없음,없음,없음,없음,"['AWS', 'Redis', 'MySQL']","['AWS', 'Redis']"
27097,"['R', 'Java']",없음,['Spring'],없음,없음,없음,없음,없음
29302,"['Go', 'Python', 'Java']",['Go'],없음,없음,없음,없음,['Docker'],['Elasticsearch']
22670,['Python'],없음,"['Django', 'FastAPI', 'React']",['React'],없음,없음,"['Docker', 'PostgreSQL']",없음
29207,없음,없음,없음,없음,없음,없음,"['AWS', 'Azure']",없음
26465,없음,['Java'],없음,['Spring'],없음,없음,"['AWS', 'MySQL']","['Docker', 'Kubernetes', 'Git']"
8770,없음,없음,없음,없음,없음,없음,없음,없음
29320,['Java'],없음,['Spring Boot'],없음,없음,없음,['MySQL'],"['Docker', 'GCP', 'Kubernetes', 'AWS']"
29288,없음,['Python'],['Spark'],['Spark'],없음,없음,"['Tableau', 'AWS']",없음
29223,없음,없음,없음,없음,없음,없음,없음,없음
29209,없음,없음,없음,없음,없음,없음,없음,없음
28685,없음,없음,없음,없음,없음,없음,없음,없음
21663,없음,없음,['Flutter'],없음,없음,없음,없음,없음
15687,없음,없음,['ASP.NET'],없음,없음,없음,"['AWS', 'Azure']","['AWS', 'Azure']"
9708,없음,없음,없음,없음,없음,없음,없음,없음
29190,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,"['IntelliJ', 'Jenkins', 'AWS', 'MySQL', 'Slack']",['Docker']
29189,없음,없음,없음,없음,없음,없음,없음,"['GCP', 'Azure', 'AWS']"
28808,없음,없음,['Spring'],없음,없음,없음,없음,['Kubernetes']
28509,없음,없음,['Spring'],없음,없음,없음,없음,['Kubernetes']
28427,['Python'],없음,"['Django', 'Flask']",없음,없음,없음,['Slack'],없음
28514,없음,없음,['Angular'],없음,없음,없음,['PostgreSQL'],없음
26299,없음,없음,없음,없음,없음,없음,없음,없음
14868,없음,없음,없음,없음,없음,없음,['MySQL'],['AWS']
28677,['Python'],없음,없음,없음,없음,없음,없음,없음
29099,없음,없음,['React'],없음,없음,없음,없음,없음
10095,없음,없음,없음,없음,없음,없음,"['GCP', 'Azure', 'AWS']",['Grafana']
14906,['PHP'],['PHP'],"['Angular', 'React']",['React'],없음,없음,없음,없음
26980,['TypeScript'],없음,없음,['React'],없음,없음,['MySQL'],없음
6194,없음,없음,없음,없음,없음,없음,없음,['AWS']
14886,"['Go', 'Java']",['PHP'],없음,없음,없음,없음,없음,없음
28423,없음,없음,없음,없음,없음,없음,없음,없음
14887,['Python'],없음,없음,없음,없음,없음,['Tableau'],['Tableau']
29092,없음,없음,없음,없음,없음,없음,없음,없음
26979,"['Go', 'TypeScript']",없음,없음,없음,없음,없음,['MySQL'],없음
16866,없음,없음,없음,없음,없음,없음,없음,없음
29056,"['JavaScript', 'Python', 'Java']",['Python'],['Spring'],없음,없음,없음,없음,"['AWS', 'Azure']"
14597,['Swift'],없음,없음,없음,없음,없음,없음,없음
29044,없음,없음,없음,없음,없음,없음,['AWS'],없음
28993,"['C++', 'Python']",없음,없음,없음,['PyTorch'],없음,없음,없음
16437,['Java'],['Java'],['Spring'],없음,없음,없음,없음,없음
28106,['Java'],없음,['Spring'],없음,없음,없음,['Git'],없음
28991,없음,없음,없음,없음,없음,없음,없음,없음
28961,없음,"['Kotlin', 'Python']",없음,"['Django', 'FastAPI']",없음,없음,"['AWS', 'Redis', 'MySQL']",없음
28661,없음,없음,없음,없음,없음,없음,['JIRA'],없음
9603,"['JavaScript', 'TypeScript']",없음,없음,없음,['gRPC'],없음,"['Docker', 'AWS', 'PostgreSQL', 'MongoDB']","['GCP', 'Azure', 'Redis', 'AWS']"
28926,없음,없음,없음,없음,없음,없음,없음,없음
28928,없음,없음,없음,없음,없음,없음,없음,없음
28927,없음,없음,없음,없음,없음,없음,없음,없음
28422,없음,"['Kotlin', 'Swift', 'Java']",['Flutter'],없음,없음,없음,없음,없음
28913,"['Go', 'Python']",없음,없음,없음,없음,없음,없음,없음
28925,없음,없음,없음,없음,없음,없음,없음,없음
28904,없음,없음,없음,없음,없음,없음,['Docker'],없음
28909,없음,"['Python', 'Ruby']",없음,"['Ruby on Rails', 'Django']",없음,없음,없음,"['Docker', 'AWS']"
22845,"['Kotlin', 'Java']",없음,['Spring'],없음,없음,없음,"['AWS', 'Redis']",['AWS']
24679,['Python'],['Python'],없음,"['Django', 'React', 'FastAPI', 'Flask']",없음,없음,없음,"['Docker', 'PostgreSQL']"
28406,['Java'],없음,['Spring'],없음,없음,없음,없음,"['JIRA', 'Slack', 'Tableau', 'Jenkins']"
14641,없음,없음,없음,없음,없음,없음,없음,없음
28901,없음,없음,없음,없음,없음,없음,없음,['AWS']
28085,없음,없음,"['Vue.js', 'React']",['React'],없음,없음,['Slack'],없음
13037,없음,"['Kotlin', 'Swift', 'Java', 'TypeScript']",없음,"['Flutter', 'React']",없음,없음,['Git'],없음
16329,없음,없음,없음,없음,없음,없음,"['AWS', 'Slack']",['AWS']
15689,없음,없음,없음,없음,없음,없음,없음,없음
28870,없음,없음,['React'],없음,없음,없음,"['ElasticSearch', 'AWS', 'MySQL']",없음
20291,없음,없음,['FastAPI'],없음,없음,없음,"['PostgreSQL', 'Git']",['AWS']
15693,없음,없음,없음,없음,없음,없음,"['AWS', 'Azure', 'MySQL']","['AWS', 'Azure']"
15704,없음,없음,없음,없음,없음,없음,없음,없음
27062,없음,없음,['Spark'],['Spark'],없음,없음,['AWS'],['AWS']
16266,없음,없음,없음,없음,없음,없음,없음,['Jenkins']
28879,없음,없음,없음,없음,없음,없음,없음,['AWS']
28871,없음,없음,"['Flutter', 'React']",['Flutter'],없음,없음,"['AWS', 'PostgreSQL']",없음
28866,"['C++', 'Go', 'Python']",없음,없음,없음,없음,없음,['Docker'],없음
28873,없음,없음,"['Flutter', 'React']","['Flutter', 'React']",없음,없음,"['AWS', 'PostgreSQL']",['AWS']
9643,없음,없음,없음,없음,없음,없음,없음,없음
28872,없음,없음,['Flutter'],없음,없음,없음,없음,없음
9648,없음,없음,없음,없음,없음,없음,없음,없음
27100,없음,없음,없음,['Spark'],없음,없음,없음,"['GCP', 'AWS']"
26963,['TypeScript'],없음,['React'],없음,없음,없음,"['AWS', 'Slack']",없음
28813,없음,없음,없음,없음,없음,없음,['Git'],"['GCP', 'Azure', 'AWS']"
28801,없음,없음,없음,없음,없음,없음,없음,없음
28804,['JavaScript'],없음,"['Vue.js', 'React']",없음,없음,없음,없음,없음
28749,없음,없음,없음,없음,없음,없음,없음,없음
28732,없음,없음,없음,없음,없음,없음,없음,없음
28744,없음,없음,['TensorFlow'],없음,['TensorFlow'],없음,없음,없음
28418,"['Kotlin', 'Swift']",없음,없음,없음,없음,없음,없음,없음
28737,없음,없음,없음,없음,없음,없음,['Docker'],없음
28746,['Python'],없음,"['TensorFlow', 'Keras']",없음,"['TensorFlow', 'Keras', 'PyTorch']",없음,없음,없음
28743,['Python'],없음,없음,없음,없음,['PyTorch'],없음,없음
27595,['Java'],['Python'],['Spring'],없음,없음,없음,"['AWS', 'PostgreSQL', 'Git']","['Docker', 'AWS']"
28735,없음,없음,없음,없음,없음,없음,없음,없음
12168,['Python'],없음,['Django'],['Django'],없음,없음,없음,"['GCP', 'AWS']"
28726,없음,없음,없음,없음,없음,없음,없음,없음
28729,없음,['Java'],없음,['Spring'],['gRPC'],없음,"['Docker', 'Redis', 'Git', 'AWS', 'PostgreSQL', 'Slack']",없음
28701,없음,['PHP'],없음,없음,없음,['jQuery'],없음,['MySQL']
28675,['TypeScript'],없음,없음,없음,없음,없음,"['Docker', 'Slack', 'Kubernetes', 'Git']",['Docker']
28676,"['JavaScript', 'TypeScript']",없음,['React'],없음,없음,없음,"['Docker', 'Slack', 'Kubernetes', 'Git']",['Docker']
14829,['R'],없음,없음,없음,없음,없음,없음,없음
28671,없음,없음,없음,없음,없음,없음,없음,없음
28669,"['JavaScript', 'TypeScript']","['Kotlin', 'Swift']",['React'],['React'],없음,없음,없음,없음
26497,없음,없음,없음,없음,없음,없음,없음,['Jenkins']
28462,없음,없음,없음,없음,없음,없음,없음,없음
14827,['R'],없음,없음,없음,없음,없음,없음,없음
28574,['Python'],없음,없음,없음,없음,없음,"['Docker', 'GCP', 'Git']",['Slack']
28626,['Python'],없음,없음,없음,없음,없음,"['Docker', 'Kubernetes']",없음
9302,['Java'],없음,['Spring'],없음,없음,없음,없음,"['JIRA', 'Slack', 'Jenkins']"
28605,없음,없음,없음,없음,없음,없음,없음,없음
27021,없음,없음,없음,없음,없음,없음,없음,없음
28599,['Java'],없음,"['Spring', 'React']",없음,없음,없음,"['MySQL', 'Git']",없음
28604,['Dart'],없음,['Flutter'],['Flutter'],없음,없음,없음,없음
28585,"['JavaScript', 'TypeScript']",없음,['React'],없음,없음,없음,['Git'],없음
28668,없음,없음,없음,없음,없음,없음,없음,없음
27047,없음,없음,없음,없음,없음,없음,없음,['Docker']
28660,없음,없음,없음,없음,없음,없음,없음,없음
28598,"['Python', 'Java']",없음,"['Spring', 'React']",없음,없음,없음,['MySQL'],['Terraform']
9284,['TypeScript'],['TypeScript'],"['Angular', 'React']",없음,없음,없음,"['AWS', 'Slack']",['AWS']
28583,없음,없음,없음,없음,없음,없음,없음,없음
26981,['Swift'],없음,없음,없음,없음,없음,없음,없음
26982,['Kotlin'],없음,없음,없음,없음,없음,없음,없음
22657,['JavaScript'],없음,['React'],없음,없음,없음,없음,없음
25994,없음,없음,없음,없음,없음,없음,"['AWS', 'MySQL']",없음
25995,없음,없음,없음,없음,없음,없음,"['AWS', 'MySQL']",없음
28502,['Java'],없음,없음,없음,없음,없음,없음,"['AWS', 'Azure']"
28563,['TypeScript'],['JavaScript'],['React'],['React'],없음,없음,"['Docker', 'Git']",없음
28099,['Python'],없음,['Flask'],없음,없음,없음,['MongoDB'],['Docker']
27580,없음,없음,없음,없음,없음,없음,없음,없음
28508,['Python'],없음,없음,없음,없음,없음,없음,"['AWS', 'Azure']"
28272,"['Python', 'Java', 'Scala']",없음,['Spark'],없음,없음,없음,['Git'],['AWS']
28344,['Python'],없음,없음,없음,없음,없음,['AWS'],"['Docker', 'Kubernetes', 'Git']"
28501,없음,"['Python', 'Java']",없음,없음,없음,없음,없음,없음
27099,없음,"['Python', 'Ruby']",없음,"['Ruby on Rails', 'Django']",없음,없음,없음,['AWS']
28435,"['Go', 'Python', 'Java']",['Python'],"['Django', 'Spring']",['Django'],없음,없음,"['Redis', 'AWS', 'MySQL', 'Terraform', 'Kubernetes']","['Docker', 'AWS', 'Terraform', 'Kubernetes', 'GCP', 'MongoDB']"
28463,없음,없음,없음,없음,없음,없음,없음,없음
28425,['Python'],없음,없음,없음,없음,없음,없음,"['Jenkins', 'Git']"
28401,없음,없음,['Spring'],없음,없음,없음,['PostgreSQL'],없음
28421,"['JavaScript', 'Python']",없음,['FastAPI'],없음,없음,없음,"['AWS', 'Redis', 'MongoDB']",['Docker']
28434,"['Go', 'Python']",없음,없음,없음,['gRPC'],없음,"['Redis', 'AWS', 'MySQL', 'Terraform', 'Kubernetes']","['GCP', 'Kubernetes', 'AWS']"
16890,없음,['Go'],없음,없음,없음,없음,없음,없음
28398,없음,없음,없음,없음,없음,없음,없음,없음
26533,"['Go', 'Python', 'TypeScript']",없음,없음,없음,없음,없음,"['Ansible', 'AWS', 'Terraform', 'Kubernetes', 'PostgreSQL', 'MongoDB']","['AWS', 'PostgreSQL', 'MongoDB']"
28347,['Python'],없음,없음,['Spark'],없음,없음,"['GCP', 'Azure', 'AWS', 'Grafana']","['Docker', 'Kubernetes']"
28025,"['C++', 'Python']",없음,없음,없음,없음,없음,없음,없음
28328,없음,없음,없음,없음,없음,없음,없음,없음
