IT_Tech_Term,Frequency
Web Socket,14
Machine Vision,14
XML,14
프로토콜 개발,14
Zeplin,14
보안 운영,14
Splunk,14
Apache Airflow,14
IT 운영,14
OpenCL,14
EDI,14
Ray,14
AWS DynamoDB,13
Data Analysis,13
인공 지능,13
CISA,13
Superset,13
라우터,13
Metal,13
NAS,13
CodeIgniter,13
CCTV,13
AWS SageMaker,13
Vuex,13
무선 통신,12
Microsoft Azure,12
Product Management,12
ADC,12
VxWorks,12
Xcode,12
Fastlane,12
Apache Spark,12
Amplitude,12
WinForm,11
Spinnaker,11
내시경,11
RxSwift,11
JSX,11
ObjectiveC,11
SDN,11
PMP,11
Android Studio,11
Unity3D,11
IntelliJ IDEA,11
AUTOSAR,11
Tensorflow Lite,11
네트워크 운영,10
데이터 보안,10
Azure DevOps,10
Active Directory,10
Windows Server,10
파일 시스템,10
Perl,10
초음파,10
Shader,10
제품 품질,10
Zabbix,10
Fortinet,10
CircleCI,10
ANSYS,10
ES5,10
Adobe XD,9
Puppeteer,9
Tuist,9
Impala,9
AWS CodePipeline,9
TCL,9
하드웨어 설계,9
UI 디자인,9
4G,9
HCI,9
Echo,9
GUI 개발,9
IDS,9
VDI,9
SAN,9
C 프로그래밍,9
NFC,9
Druid,9
AJAX,9
Ajax,9
GLSL,9
Presto,9
HP,8
Jasmine,8
Gin,8
Rancher,8
Cubrid,8
Mac,8
리눅스 서버,8
Rx,8
MS 오피스,8
CCIE,8
RTL 코딩,8
DSL,8
GCC,8
Looker,8
CAE,8
Shell Scripting,8
Solidworks,7
Netty,7
DBT,7
안드로이드 개발,7
Visual Studio Code,7
OSGi,7
ThreeJS,7
Falcon,7
DirectX,7
AutoCAD,7
PCB 레이아웃 설계,7
Trino,7
Wireshark,7
프로젝트 계획,7
Couchbase,7
Fastify,7
VHDL,7
Bamboo,7
Reactor,6
공정 관리,6
병렬 프로그래밍,6
Vault,6
VLAN,6
Assembly,6
Torch,6
AWS CloudFormation,6
OpenFOAM,6
네트워크 관리,6
Embedded C,6
FCC,6
Packer,6
전자정부프레임워크,6
Atlassian JIRA,6
Linkerd,6
Apollo,6
Altium Designer,6
문서 관리,6
SAP MM,6
Arduino,6
Xen,6
CockroachDB,6
YOLO,6
AWS Cloud9,6
DHCP,6
ITGC,5
Axios,5
Raspberry Pi,5
Guice,5
Vanilla JS,5
CTI,5
위성 통신,5
SOLR,5
SAP FI,5
Nexus,5
SAP SD,5
프로토콜 설계,5
CICD,5
MXNET,5
Aurora DB,5
AWS ElasticBeanstalk,5
NAT,5
Drone,5
Solr,5
STP,5
HBase,5
React Admin,5
Retrofit2,5
CEH,5
Amazon Web Service,5
Fiber,5
UX 기획,4
SQLite,4
AWS Athena,4
AWS EMR,4
Lua,4
PCB 디자인,4
MPI,4
전략 개발,4
RFID,4
Mapbox,4
영어 실력,4
QML,4
Kendo UI,4
Groovy,4
테스트 실행,4
SciPy,4
Memcached,4
ReactorKit,4
머신 비전,4
OpenGL ES,4
JSTL,4
InfluxDB,4
Koa,4
Mockito,4
Sonarqube,4
Google Guice,4
Relay,4
Klaytn,4
SMTP,4
디지털 회로 설계,4
Traefik,4
RIBs,4
AWS DocumentDB,4
Debezium,4
3G,4
AWS CodeCommit,3
AWS Kinesis,3
RFP,3
ERP 구현,3
Circle CI,3
ERP 소프트웨어,3
Retrofit,3
Google Tag Manager,3
VoIP,3
React Hooks API,3
PLL,3
Realm,3
Phoenix,3
LDAP,3
Nexacro,3
TeamCity,3
Harbor,3
Bitrise,3
Composer,3
WPF 개발,3
VMware Server,3
Elixir,3
제품 인증,3
nGrinder,3
SketchUp,3
VM웨어,3
3D 그래픽,3
ANSYS Fluent,3
Eigen,3
VRRP,3
Office 365,3
UML,3
NIFI,3
SSIS,3
Gulp,3
Trello,3
VMware view,3
MPEG,3
Highcharts,3
전략 기획,3
AWS Redshift,3
Dagger,3
WSUS,3
Eclipse,3
Kernel Programming,3
Apache Hadoop,2
React Native Router,2
테스트 및 평가,2
Mantis Bug Tracker,2
소프트웨어 구현,2
테스트 관리,2
Gatsby,2
Ranger,2
Typeform,2
OpenFlow,2
SnapKit,2
React Context,2
SIP,2
클라우드 스토리지,2
Kotest,2
Spotfire,2
CouchDB,2
NX Unigraphics,2
3Ds Max,2
문서 검토,2
3D 시각화,2
Metabase,2
VMware Infrastructure,2
잉크젯,2
취약점 스캐닝,2
공공 부문,2
ScikitLearn,2
Solidworks Simulation,2
Oracle Database,2
Lottie,2
PCle,2
Regular expression,2
IPL,2
dlib,2
Karpenter,2
Microsoft Outlook,2
Zeppelin,2
iBatis,2
web3js,2
CocoaPods,2
NVIDIA TensorRT,2
게임 프로그래밍,2
SAP BI,2
하드웨어 테스트,2
SAP 구현,2
HTML 스크립트,2
SPDK,2
Apache HTTP Server,2
ML Kit,2
Xamarin,2
SAP BW,2
Visual Basic,2
Kudu,2
Heroku,2
SAP HR,2
PADS Layout,2
EEO,2
Cucumber,2
DWDM,2
DevExpress,2
프로젝트 납품,1
QAD,1
하드웨어 지원,1
Locust,1
Microsoft License,1
PowerBuilder,1
웹 전략,1
Clickhouse,1
Apache Tomcat,1
CanvasJS,1
마이크로프로세서,1
Access 데이터베이스,1
Power Point,1
Azure Cache for Redis,1
DNS 관리,1
장비 유지 보수,1
Bazel,1
Azure Microsoft portal,1
Windows 서비스,1
Element UI,1
Red Hat Ceph Storage,1
회로 테스트,1
소프트웨어 산업,1
Armeria,1
음성 장애,1
Apache Druid,1
ReactiveX,1
RESTful WebServices,1
Cisco VPN,1
Azure Emotion,1
Microsoft Project,1
D3js,1
Neo4j,1
Google Container Registry,1
Pyxis,1
Slack API,1
Flex,1
Data mining,1
광학 현미경,1
Microsoft Dynamics,1
네트워크 설치,1
Apache Maven,1
CSS 자바 스크립트,1
Data Guard,1
Azure Network Watcher,1
CATIA V5,1
Fusion360,1
RESTful Architecture,1
라이브러리 관리,1
IT 관리,1
AWS Route 53,1
프로젝트 실행,1
Cisco Wireless,1
mSQL,1
Google Cloud Functions,1
ExoPlayer,1
AWS Certificate Manager,1
Moya,1
Google BigQuery,1
MeteorJS,1
Windows Forms,1
FPGA 프로토 타이핑,1
Travis CI,1
Xilinx ISE,1
AWS Alexa,1
문서 제도,1
공공 관리,1
Microchip PIC,1
Monday,1
SAP 포털,1
DACS,1
Keil,1
Glide,1
셀레니움,1
클라우드 응용 프로그램,1
AWS API Gateway,1
제어 이론,1
하드웨어 아키텍처,1
안드로이드 SDK,1
ReScript,0
AWS Simple Queue ServiceAWS SQS,0
CNNConvolutional Neural Network,0
Ktor,0
OracleDB,0
ReduxSaga,0
Discord,0
Greenplum,0
Reduxjs,0
Jandi,0
JPAJava Persistent API,0
Karma,0
Sanic,0
NCPNaver Cloud Platform,0
EmberJS,0
AWS SNS,0
ReduxThunk,0
HLSHTTP Live Streaming,0
Google Cloud Build,0
Agit,0
StyledComponents,0
Kakaotalk,0
Arcus,0
Amazon Web ServicesAWS,0
Saltstack,0
ASP NET,0
DBADatabase administration,0
TCPIP,0
Dooray,0
ASPNET,0
GCPGoogle Cloud Platform,0
Sinon,0
H2,0
Telegram,0
KakaoWork,0
Dropwizard,0
Hazelcast,0
Thrift,0
MVVMModelViewViewModel,0
Go CD,0
RestAssured,0
CaffeConvolutional Architecture for Fast Feature Embedding,0
Hugo,0
Sequelizejs,0
Google Firebase,0
Salesforcecom,0
ethersjs,0
AWS AuroraDB,0
Zipkin,0
ArangoDB,0
Azure Kubernetes Service AKS,0
C  C,0
AWS MariaDB,0
MicrosoftTeams,0
ReduxObservable,0
Capistrano,0
Google Data Studio,0
CassandraDB,0
Docusaurus,0
RocksDB,0
Liquibase,0
Naver Works,0
Central Dogma,0
Jaeger,0
Immer,0
KubeBench,0
Enzyme,0
GANGenerative Adversarial Network,0
AWS CodeDeploy,0
Google GKE OnPrem,0
Meteor,0
BackboneJS,0
Unity MLAgents,0
SOX 404,0
OpenEBS,0
NuxtJS,0
AWS SES,0
AWS CodeBuild,0
Alamofire,0
SassSCSS,0
DRFDjango REST framework,0
Fluentd,0
styledcomponents,0
Nuxtjs,0
MSSQLMicrosoft SQL Server,0
