technicalTags,mapped_technicalTags
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('git', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('jira', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('docker', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('github', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('junit', 'B-FRAME')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('github actions', 'O')"
"AWS EC2, Azure, Clean Architecture","('aws ec2', 'O')"
"AWS EC2, Azure, Clean Architecture","('azure', 'O')"
"AWS EC2, Azure, Clean Architecture","('clean architecture', 'O')"
"C++, Python, Swift","('c++', 'B-LANG')"
"C++, Python, Swift","('python', 'B-LANG')"
"C++, Python, Swift","('swift', 'B-LANG')"
"Android, Java, Kotlin","('android', 'O')"
"Android, Java, Kotlin","('java', 'B-LANG')"
"Android, Java, Kotlin","('kotlin', 'B-LANG')"
"Android, Java, Realm","('android', 'O')"
"Android, Java, Realm","('java', 'B-LANG')"
"Android, Java, Realm","('realm', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('reactjs', 'B-LIB')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('typescript', 'B-LANG')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('redux.js', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('vanilla js', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('webpack', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('storybook', 'B-TOOL')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('github', 'B-TOOL')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('eslint', 'O')"
"Linux, Windows","('linux', 'O')"
"Linux, Windows","('windows', 'O')"
"ReactJS, TypeScript, NestJS","('reactjs', 'B-LIB')"
"ReactJS, TypeScript, NestJS","('typescript', 'B-LANG')"
"ReactJS, TypeScript, NestJS","('nestjs', 'B-FRAME')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('node.js', 'O')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('expressjs', 'B-FRAME')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('typescript', 'B-LANG')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('mysql', 'B-TOOL')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('google cloud platform', 'O')"
"Windows, Linux, Unix","('windows', 'O')"
"Windows, Linux, Unix","('linux', 'O')"
"Windows, Linux, Unix","('unix', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('docker', 'B-TOOL')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('java', 'B-LANG')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('mysql', 'B-TOOL')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('javascript', 'B-LANG')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('node.js', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('spring', 'B-FRAME')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('jpa(java persistent api)', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('spring boot', 'B-FRAME')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('apache kafka', 'O')"
"Linux, Windows","('linux', 'O')"
"Linux, Windows","('windows', 'O')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('vue.js', 'O')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('reactjs', 'B-LIB')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('flutter', 'O')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('react native', 'B-FRAME')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('swift', 'B-LANG')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('kotlin', 'B-LANG')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('java', 'B-LANG')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('spring boot', 'B-FRAME')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('java', 'B-LANG')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('spring', 'B-FRAME')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('php', 'B-LANG')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('python', 'B-LANG')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('django', 'B-FRAME')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('mysql', 'B-TOOL')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('node.js', 'O')"
"Java, Spring, PHP, Python, Django, MySQL, Node.js, Redis","('redis', 'B-TOOL')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('react native', 'B-FRAME')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('nestjs', 'B-FRAME')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('expressjs', 'B-FRAME')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('redis', 'B-TOOL')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('python', 'B-LANG')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('aws dynamodb', 'B-TOOL')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('pytorch', 'B-LIB')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('github actions', 'O')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('aws elastic beanstalk', 'O')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('jenkins', 'B-TOOL')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('jira', 'B-TOOL')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('slack api', 'O')"
"React Native, NestJS, ExpressJS, Redis, Python, AWS DynamoDB, PyTorch, GitHub Actions, AWS Elastic Beanstalk, Jenkins, JIRA, Slack API, GitHub","('github', 'B-TOOL')"
"AWS Cloud9, MySQL, Jenkins, Kubernetes","('aws cloud9', 'O')"
"AWS Cloud9, MySQL, Jenkins, Kubernetes","('mysql', 'B-TOOL')"
"AWS Cloud9, MySQL, Jenkins, Kubernetes","('jenkins', 'B-TOOL')"
"AWS Cloud9, MySQL, Jenkins, Kubernetes","('kubernetes', 'B-TOOL')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('reactjs', 'B-LIB')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('next.js', 'O')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('typescript', 'B-LANG')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('git', 'B-TOOL')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('github', 'B-TOOL')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('aws s3', 'O')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('aws ec2', 'O')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('mysql', 'B-TOOL')"
"ReactJS, Next.js, TypeScript, Git, GitHub, AWS S3, AWS EC2, MySQL, PHP","('php', 'B-LANG')"
SAP,"('sap', 'O')"
"CSS3, JavaScript, HTML5","('css3', 'O')"
"CSS3, JavaScript, HTML5","('javascript', 'B-LANG')"
"CSS3, JavaScript, HTML5","('html5', 'O')"
"Android, flutter","('android', 'O')"
"Android, flutter","('flutter', 'O')"
"C++, Unreal Engine","('c++', 'B-LANG')"
"C++, Unreal Engine","('unreal engine', 'O')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('docker', 'B-TOOL')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('git', 'B-TOOL')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('python', 'B-LANG')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('reactjs', 'B-LIB')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('kubernetes', 'B-TOOL')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('apache kafka', 'O')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('websocket', 'O')"
"Docker, Git, Python, ReactJS, Kubernetes, Apache Kafka, WebSocket, FastAPI","('fastapi', 'B-FRAME')"
"Python, Solidity, Ethereum, Rust, JavaScript","('python', 'B-LANG')"
"Python, Solidity, Ethereum, Rust, JavaScript","('solidity', 'B-LANG')"
"Python, Solidity, Ethereum, Rust, JavaScript","('ethereum', 'O')"
"Python, Solidity, Ethereum, Rust, JavaScript","('rust', 'B-LANG')"
"Python, Solidity, Ethereum, Rust, JavaScript","('javascript', 'B-LANG')"
"Python, MySQL","('python', 'B-LANG')"
"Python, MySQL","('mysql', 'B-TOOL')"
"Spring Boot, NestJS, ExpressJS","('spring boot', 'B-FRAME')"
"Spring Boot, NestJS, ExpressJS","('nestjs', 'B-FRAME')"
"Spring Boot, NestJS, ExpressJS","('expressjs', 'B-FRAME')"
"Python, C++","('python', 'B-LANG')"
"Python, C++","('c++', 'B-LANG')"
"Node.js, Redis, MySQL, Amazon Web Services(AWS)","('node.js', 'O')"
"Node.js, Redis, MySQL, Amazon Web Services(AWS)","('redis', 'B-TOOL')"
"Node.js, Redis, MySQL, Amazon Web Services(AWS)","('mysql', 'B-TOOL')"
"Node.js, Redis, MySQL, Amazon Web Services(AWS)","('amazon web services(aws)', 'O')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('tcp/ip', 'O')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('python', 'B-LANG')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('c', 'B-LANG')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('shell script', 'O')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('git', 'B-TOOL')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('linux kernel', 'O')"
"TCP/IP, Python, C, Shell Script, Git, Linux kernel, NoSQL","('nosql', 'O')"
"ReactJS, Redux.js, WebSocket, Amazon Web Services(AWS)","('reactjs', 'B-LIB')"
"ReactJS, Redux.js, WebSocket, Amazon Web Services(AWS)","('redux.js', 'O')"
"ReactJS, Redux.js, WebSocket, Amazon Web Services(AWS)","('websocket', 'O')"
"ReactJS, Redux.js, WebSocket, Amazon Web Services(AWS)","('amazon web services(aws)', 'O')"
"Swift, iOS","('swift', 'B-LANG')"
"Swift, iOS","('ios', 'O')"
"ReactJS, TypeScript, JavaScript","('reactjs', 'B-LIB')"
"ReactJS, TypeScript, JavaScript","('typescript', 'B-LANG')"
"ReactJS, TypeScript, JavaScript","('javascript', 'B-LANG')"
"Windows, Linux, MSSQL(Microsoft SQL Server)","('windows', 'O')"
"Windows, Linux, MSSQL(Microsoft SQL Server)","('linux', 'O')"
"Windows, Linux, MSSQL(Microsoft SQL Server)","('mssql(microsoft sql server)', 'O')"
"Unity, C#","('unity', 'B-TOOL')"
"Unity, C#","('c#', 'B-LANG')"
"Linux, Windows, Unix","('linux', 'O')"
"Linux, Windows, Unix","('windows', 'O')"
"Linux, Windows, Unix","('unix', 'O')"
"Git, Windows, Linux, Apache, Apache Tomcat","('git', 'B-TOOL')"
"Git, Windows, Linux, Apache, Apache Tomcat","('windows', 'O')"
"Git, Windows, Linux, Apache, Apache Tomcat","('linux', 'O')"
"Git, Windows, Linux, Apache, Apache Tomcat","('apache', 'O')"
"Git, Windows, Linux, Apache, Apache Tomcat","('apache tomcat', 'O')"
"Java, Python, Kotlin, Spring, Ruby on Rails","('java', 'B-LANG')"
"Java, Python, Kotlin, Spring, Ruby on Rails","('python', 'B-LANG')"
"Java, Python, Kotlin, Spring, Ruby on Rails","('kotlin', 'B-LANG')"
"Java, Python, Kotlin, Spring, Ruby on Rails","('spring', 'B-FRAME')"
"Java, Python, Kotlin, Spring, Ruby on Rails","('ruby on rails', 'B-FRAME')"
"Python, Java, Kotlin, Ruby on Rails, Spring","('python', 'B-LANG')"
"Python, Java, Kotlin, Ruby on Rails, Spring","('java', 'B-LANG')"
"Python, Java, Kotlin, Ruby on Rails, Spring","('kotlin', 'B-LANG')"
"Python, Java, Kotlin, Ruby on Rails, Spring","('ruby on rails', 'B-FRAME')"
"Python, Java, Kotlin, Ruby on Rails, Spring","('spring', 'B-FRAME')"
"SQL, Python, Tableau","('sql', 'O')"
"SQL, Python, Tableau","('python', 'B-LANG')"
"SQL, Python, Tableau","('tableau', 'B-TOOL')"
"JavaScript, ReactJS, TypeScript","('javascript', 'B-LANG')"
"JavaScript, ReactJS, TypeScript","('reactjs', 'B-LIB')"
"JavaScript, ReactJS, TypeScript","('typescript', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('python', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('javascript', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('css', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('machine vision', 'O')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('html', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('git', 'B-TOOL')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('pytorch', 'B-LIB')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('java', 'B-LANG')"
"Python, JavaScript, CSS, Machine Vision, HTML, Git, PyTorch, Java, MySQL","('mysql', 'B-TOOL')"
"Java, MSSQL(Microsoft SQL Server), C#","('java', 'B-LANG')"
"Java, MSSQL(Microsoft SQL Server), C#","('mssql(microsoft sql server)', 'O')"
"Java, MSSQL(Microsoft SQL Server), C#","('c#', 'B-LANG')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('python', 'B-LANG')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('elasticsearch', 'B-TOOL')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('docker', 'B-TOOL')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('sql', 'O')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('linux', 'O')"
"Python, Elasticsearch, Docker, SQL, Linux, MongoDB","('mongodb', 'B-TOOL')"
"Tensorflow, PyTorch","('tensorflow', 'B-LIB')"
"Tensorflow, PyTorch","('pytorch', 'B-LIB')"
"Spring, Git, Datadog","('spring', 'B-FRAME')"
"Spring, Git, Datadog","('git', 'B-TOOL')"
"Spring, Git, Datadog","('datadog', 'O')"
"Spring, Git, Datadog","('spring', 'B-FRAME')"
"Spring, Git, Datadog","('git', 'B-TOOL')"
"Spring, Git, Datadog","('datadog', 'O')"
"C, C++, Python","('c', 'B-LANG')"
"C, C++, Python","('c++', 'B-LANG')"
"C, C++, Python","('python', 'B-LANG')"
"Java, Python, JavaScript, MySQL, Docker","('java', 'B-LANG')"
"Java, Python, JavaScript, MySQL, Docker","('python', 'B-LANG')"
"Java, Python, JavaScript, MySQL, Docker","('javascript', 'B-LANG')"
"Java, Python, JavaScript, MySQL, Docker","('mysql', 'B-TOOL')"
"Java, Python, JavaScript, MySQL, Docker","('docker', 'B-TOOL')"
"Spring, Git, Datadog","('spring', 'B-FRAME')"
"Spring, Git, Datadog","('git', 'B-TOOL')"
"Spring, Git, Datadog","('datadog', 'O')"
"C#, Python, C","('c#', 'B-LANG')"
"C#, Python, C","('python', 'B-LANG')"
"C#, Python, C","('c', 'B-LANG')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('java', 'B-LANG')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('spring', 'B-FRAME')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('mysql', 'B-TOOL')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('redis', 'B-TOOL')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('aws athena', 'B-TOOL')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('kotlin', 'B-LANG')"
"Java, Spring, MySQL, Redis, AWS Athena, Kotlin, MongoDB","('mongodb', 'B-TOOL')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('java', 'B-LANG')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('spring', 'B-FRAME')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('mysql', 'B-TOOL')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('redis', 'B-TOOL')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('docker', 'B-TOOL')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('aws athena', 'B-TOOL')"
"Java, Spring, MySQL, Redis, Docker, AWS Athena, AWS S3","('aws s3', 'O')"
React Native,"('react native', 'B-FRAME')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('python', 'B-LANG')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('linux', 'O')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('c++', 'B-LANG')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('git', 'B-TOOL')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('big data', 'O')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('data analysis', 'O')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('pandas', 'B-LIB')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('scikit-learn', 'B-LIB')"
"Python, Linux, C++, Git, Big Data, Data Analysis, Pandas, Scikit-Learn, Tensorflow, NLP, Machine Learning","('tensorflow', 'B-LIB')"
