seq,category,name,synonym,ner_label
156,tool,aws sns,"aws sns,awssns",B-TOOL
157,tool,azure devops,"azuredevops,azure devops",B-TOOL
158,tool,bazel,bazel,B-TOOL
159,tool,bitbucket,bitbucket,B-TOOL
160,tool,bitrise,bitrise,B-TOOL
161,tool,capistrano,capistrano,B-TOOL
162,tool,cassandradb,"casandra,cassandra db,cassandra,cassandradb",B-TOOL
163,tool,celery,celery,B-TOOL
164,tool,central dogma,"central dogma,centraldogma",B-TOOL
165,tool,ceph,ceph,B-TOOL
166,tool,circle ci,"circle ci,circleci",B-TOOL
167,tool,clickhouse,clickhouse,B-TOOL
168,tool,cockroachdb,"cockroach db,cockroachdb",B-TOOL
169,tool,confluence,"confleunce,confluence,confluece,conflunce",B-TOOL
170,tool,couchbase,couchbase,B-TOOL
171,tool,cubrid,cubrid,B-TOOL
172,tool,cucumber,cucumber,B-TOOL
173,tool,cypress,cypress,B-TOOL
174,tool,discord,discord,B-TOOL
175,tool,docker,docker,B-TOOL
176,tool,docusaurus,docusaurus,B-TOOL
177,tool,dooray,dooray,B-TOOL
178,tool,drone,drone,B-TOOL
179,tool,druid,druid,B-TOOL
180,tool,elasticsearch,"elasticsearch,elasticserach",B-TOOL
181,tool,fastlane,fastlane,B-TOOL
182,tool,fluentd,fluentd,B-TOOL
183,tool,flow,flow,B-TOOL
184,tool,git,git,B-TOOL
185,tool,github,"github,githb",B-TOOL
186,tool,github action,"github action,githubaction",B-TOOL
187,tool,gitlab,gitlab,B-TOOL
188,tool,go cd,"go cd,gocd",B-TOOL
189,tool,google bigquery,"google bigquery,googlebigquery",B-TOOL
190,tool,google cloud build,"google cloud build,gcp,googlecloudbuild",B-TOOL
191,tool,google data studio,"googledatastudio,google data studio",B-TOOL
192,tool,google firebase,"google firebase,googlefirebase",B-TOOL
193,tool,grafana,grafana,B-TOOL
194,tool,greenplum,greenplum,B-TOOL
195,tool,gulp,gulp,B-TOOL
196,tool,h2,h2,B-TOOL
197,tool,harbor,harbor,B-TOOL
198,tool,hbase,hbase,B-TOOL
199,tool,hazelcast,hazelcast,B-TOOL
200,tool,helm,helm,B-TOOL
201,tool,hive,hive,B-TOOL
202,tool,hugo,hugo,B-TOOL
203,tool,istio,istio,B-TOOL
204,tool,jaeger,jaeger,B-TOOL
205,tool,jandi,jandi,B-TOOL
206,tool,jenkins,jenkins,B-TOOL
207,tool,jira,jira,B-TOOL
208,tool,kafka,"kafa,kafka",B-TOOL
209,tool,kakaotalk,kakaotalk,B-TOOL
210,tool,kakaowork,kakaowork,B-TOOL
211,tool,karma,karma,B-TOOL
212,tool,karpenter,karpenter,B-TOOL
213,tool,kibana,kibana,B-TOOL
214,tool,kube-bench,"kube-bench,kubebench,kube bench",B-TOOL
215,tool,kubeflow,kubeflow,B-TOOL
216,tool,kubernetes,"kuberentes,kubernetes,kuberntes,kubenretes,kubanetes,kuberneties,kubernates,kubernets,kubemetes,k8s,kubenetes,kuerbernetes",B-TOOL
217,tool,kudu,kudu,B-TOOL
218,tool,linkerd,linkerd,B-TOOL
219,tool,liquibase,liquibase,B-TOOL
220,tool,locust,locust,B-TOOL
221,tool,looker,looker,B-TOOL
222,tool,memcached,memcached,B-TOOL
223,tool,metabase,metabase,B-TOOL
224,tool,microsoft-teams,"microsoft-teams,microsoftteams,microsoft teams",B-TOOL
225,tool,mlflow,mlflow,B-TOOL
226,tool,monday,monday,B-TOOL
227,tool,mongodb,"mongo,mongodb,mongo db,mono,monogdb,mongdb",B-TOOL
228,tool,mssql,"mssql,ms sql",B-TOOL
229,tool,mysql,"my sql,mysql",B-TOOL
230,tool,naver works,"naverworks,naver works",B-TOOL
231,tool,neo4j,neo4j,B-TOOL
232,tool,nexus,nexus,B-TOOL
233,tool,ngrinder,ngrinder,B-TOOL
234,tool,nifi,nifi,B-TOOL
235,tool,notion,notion,B-TOOL
236,tool,openebs,openebs,B-TOOL
237,tool,oracledb,"oracle db,oracledb,oracle",B-TOOL
238,tool,packer,packer,B-TOOL
239,tool,playwright,"playwrite,playwright",B-TOOL
240,tool,postgresql,"postgresql,postgre,postresl,postgre sql,postgis,postgres,postgredb,postgressql",B-TOOL
241,tool,presto,presto,B-TOOL
242,tool,prometheus,prometheus,B-TOOL
243,tool,rabbitmq,"rabbit,rabbitmq",B-TOOL
244,tool,rancher,"rance,rancher",B-TOOL
245,tool,ranger,ranger,B-TOOL
246,tool,redash,redash,B-TOOL
247,tool,redis,redis,B-TOOL
248,tool,rocksdb,"rocks db,rocksdb",B-TOOL
249,tool,saltstack,saltstack,B-TOOL
250,tool,slack,slack,B-TOOL
251,tool,snowflake,snowflake,B-TOOL
252,tool,solr,solr,B-TOOL
253,tool,sonarqube,"sonarqube,sonaqube",B-TOOL
254,tool,storybook,storybook,B-TOOL
255,tool,superset,"superset,supertest",B-TOOL
256,tool,tableau,tableau,B-TOOL
257,tool,telegram,telegram,B-TOOL
258,tool,travis ci,"travis,travis ci",B-TOOL
259,tool,trello,trello,B-TOOL
260,tool,trino,trino,B-TOOL
261,tool,tuist,tuist,B-TOOL
262,tool,unity,unity,B-TOOL
263,tool,vault,vault,B-TOOL
264,tool,zabbix,zabbix,B-TOOL
265,tool,zeppelin,zeppelin,B-TOOL
266,tool,puppeteer,puppeteer,B-TOOL
267,tool,opengl,opengl,B-TOOL
268,tool,zipkin,zipkin,B-TOOL
269,tool,impala,impala,B-TOOL
270,tool,influxdb,influxdb,B-TOOL
271,tool,traefik,traefik,B-TOOL
272,tool,apache spark,apache spark,B-TOOL
273,tool,dask,dask,B-TOOL
274,tool,openstack,openstack,B-TOOL
275,tool,terraform,terraform,B-TOOL
276,tool,zeplin,zeplin,B-TOOL
277,tool,jmeter,jmeter,B-TOOL
