채용 링크,회사 이름,채용 직군,경력,관련 직군,학력,근무 지역,근무 형태,채용 내용(이미지),채용 내용(간단 설명),채용 내용(세부 내용)
https://zighang.com/recruitment/501546b5-9df1-48e2-b9bb-7d8abf755776,카카오페이,DevOps개발자,5년차 이상,데브옵스/인프라,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/1729abc5-aac5-4530-a0bc-ecf320a2bafc,카카오페이,내부시스템개발자-SRE팀,5년차 이상,"소프트웨어 엔지니어, 데브옵스/인프라",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/cdd087a2-6122-4230-aa20-b4bf28d51359,11번가,프론트엔드 개발자 모집,5년차 이상,프론트엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/78586570-200f-4d47-9c74-004f68a1f25f,스매시,백엔드 시니어 개발자,5년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/e8e5a6a3-a459-4f36-a28d-d25174623378,스픽,AI Product Engineer,3~5년차,"머신러닝 엔지니어, NLP, LLM 외 1개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/89c4f2a4-7714-4c88-b6fe-59254f421059,AWS,클라우드 / Data / OS 채용연계형 인턴,신입,"클라우드, 데브옵스/인프라, 소프트웨어 엔지니어",학사,서울,전환형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/c86f35ef-32b0-4d48-bdca-5b2fc5682d78,AWS,Data Center Operations Engineer,3년차 이상,"데이터 엔지니어, 데브옵스/인프라, 클라우드 외 2개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/bb3a3fff-0457-46f9-8298-f482306743d9,영원무역,경력/신입 상시 채용,"2년차, 4~5년차","설계, 생산관리, 구매 외 5개",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/be5cbc07-9d7e-46f5-8701-17cd38069a39,토스페이먼츠,DevOps Engineer,경력 무관,데브옵스/인프라,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/91c9f4b4-04fd-4708-bf47-594d50cc4ffb,번개장터,Backend Software Engineer,3년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/76b3874f-e589-40c2-86e8-2daa8fa96e2b,리디,백엔드 개발팀장,10년차 이상,백엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f342f376-f611-4769-9cda-a7dfdaa591bb,리디,백엔드 엔지니어 Group 리드,10년차 이상,백엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3280b3c3-df4f-4374-8a26-d7cdb71435d2,펄어비스,게임보안 기술 엔지니어,경력 무관,"기술지원, 보안, 소프트웨어 엔지니어",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/af055770-1fb6-4ea6-9e60-52bb8c058fcb,G마켓,검색모델링 Engineer,5년차 이상,백엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/7827dfa0-ccee-465a-a6e0-898c2b3f5aca,G마켓,Catalog Software Engineer,7년차 이상,"데이터 엔지니어, 백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/17e9d8b8-74a3-4565-af97-b0fb035d0582,비상교육,기출탭탭 웹 전환 프로젝트 PM,7년차 이상,"서비스 기획, 프로덕트 매니저(PM), 기획 외 1개",학사,경기,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/6faea92d-6726-4f62-b46d-4c6b2060ddc3,KB데이타시스템,정보보호 컨설팅 Tech,3년차 이상,보안,학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/09636788-5966-4a42-ab5b-42d48192aaa3,크래프톤,Web Front-End Developer,5년차 이상,프론트엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/c4b7cfed-80f9-48c4-b9e8-321f32349f9d,메가존클라우드,대용량 메시징 플랫폼 서비스 엔지니어,5년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/94d720a4-7a55-4775-9a27-87b8025ab2fa,NHN 두레이,ERP 서비스 기획,4년차 이상,"서비스 기획, 기획, 프로덕트 매니저(PM) 외 1개",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/361e0db8-a4d0-452e-acbf-e2d0328d09b5,밀리의서재,DevOps 엔지니어,2~5년차,데브옵스/인프라,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b96eb789-a712-4d6f-8db8-d801697d1bf6,에쓰-오일,"IT Infra 보안, 네트워크 엔지니어",5년차 이상,"보안, 데브옵스/인프라",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/7ba369ee-c10d-41b3-8cf3-6769c6d7f60c,에쓰-오일,사이버 보안 시스템 엔지니어,4년차 이상,"보안, 데브옵스/인프라",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/fc9ff355-6e01-44ac-8385-f209e1e40c2b,쿠팡,Cloud Infrastructure 보안 엔지니어,8년차 이상,"보안, 데브옵스/인프라",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/c562c84f-0076-453e-a919-9415b275e69f,파나시아,백엔드 엔지니어 (Spring),5년차 이상,백엔드,학사,부산,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/13a8a118-1442-44c2-b816-937c9cb7b2e8,파나시아,시스템 프로그래머,"신입, 2년차","소프트웨어 엔지니어, 임베디드 소프트웨어",학사,부산,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b3c35507-f665-4613-948c-f6947c225326,나스미디어,2025년 1월 나스미디어 대규모 채용,"1~2년차, 4년차, 8년차","미디어 플래너, 마케팅, 광고 마케팅 외 6개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/c43b0c79-b616-4373-9e39-fa3a4430dd08,무림,신입/경력 대규모 채용,"신입, 5년차, 7~8년차","품질관리, 자산운용, 증권 외 15개",학사,"서울, 대구, 울산",정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/26876e7d-d45c-4b01-9de9-ad9ac83830e8,구글,"Firmware Engineer, Camera",1년차 이상,소프트웨어 엔지니어,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/1ab5dec1-56df-4b19-aaae-fca661a7c548,우아한형제들,웹 백엔드 교육 엔지니어,2년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0d5346c4-684e-415c-aa6b-bda1e6408cd1,토스페이먼츠,QA Specialist,경력 무관,QA 엔지니어,학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/bff4e86d-b7c8-481e-a022-3649f21f9f02,CJ올리브영,백엔드 개발자 (상품 카테고리),4년차 이상,"백엔드, 소프트웨어 엔지니어, 프론트엔드 외 1개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/bd457fa1-eb0c-4862-a962-aafc6d1adc1b,한화,Back-End 개발자 경력사원 채용,경력 무관,백엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b5567f74-4c44-40ca-bb33-9cb718f42728,한화생명,Backend Developer,3년차 이상,백엔드,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/056d0531-8cff-40cc-af98-8c1a68950fde,티맵모빌리티,정보보호 담당자 (취약점 진단/관리),5년차 이상,보안,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/c6204889-8737-4b83-b094-fd4b93ebe912,티맵모빌리티,주소 데이터 담당자,5년차 이상,"연구원, DBA",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/484f22a8-d0ac-4c21-a04e-4c9e9d6041e2,카카오페이손해보험,공통 플랫폼 Backend 엔지니어 모집,5년차 이상,백엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/1b32bf2e-8a31-48f7-81f9-f66b87c80260,한국타이어앤테크놀로지,전략기획/경영지원/미케팅/SCM 채용,"3~5년차, 7년차","HRD, 전략기획, 경영지원 외 2개","학사, 학력 무관",경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f10095e1-7211-4cb5-8406-efb949311fad,ESTgames,"DevOps 엔지니어 (클라우드 및 온프레미스, 시스템 최적화 및 자동화)",경력 무관,"게임서버, 데브옵스/인프라, 클라우드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/5bcd96c5-a973-4637-9453-f10246f31ebc,리디,Backend Software Engineer,4년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/538573fd-6d78-4623-804b-0866f7c4a8de,리디,FullStack Software Engineer,4년차 이상,"소프트웨어 엔지니어, 백엔드, 프론트엔드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/07d5e216-f31c-40bc-9271-c2d3864f7f0f,리디,Frontend Software Engineer,4년차 이상,"프론트엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3cabfd0f-74ec-4a70-93b7-b028f5afa6ef,넥슨,기술 전략 엔지니어,3년차 이상,"개발PM, 기술지원, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/255058c6-bba2-4b6e-bd63-bc26075ae8ec,티알엔,2025 쇼핑엔티 신입 공개채용,신입,"기획MD, 마케팅, 경영지원 외 5개",학력 무관,서울,공개채용,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/44d2b07d-0c61-4609-9ca1-92c6f144dc78,플렉스,Product Engineer (Frontend Design System),경력 무관,프론트엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/7b4ce23f-1ab7-494f-8150-9aed81ea0395,넥슨,백엔드 개발자,경력 무관,백엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/127d791c-d8d8-4a4e-b1a2-cd8c9e392e28,아파트멘터리,프론트엔드 개발자(React),3~7년차,프론트엔드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/36d42d2c-fbcd-45f6-9559-83b9f764a8b0,카카오페이손해보험,백엔드 엔지니어 모집,3년차 이상,"보험상품개발, 백엔드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0cd40609-d68e-485d-9aa8-d956a91720c5,비트망고,보안 엔지니어,2년차 이상,보안,학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3635e454-0e9e-460d-a4c2-7b56096b6681,풀무원,B2E 플랫폼 백엔드(서버)개발경력직채용,5년차 이상,백엔드,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/6eec23d4-20fb-49d5-bff0-1473b04619a2,슈프리마,회로설계(Electronic Engineer) 모집,신입,"회로 설계, 임베디드 소프트웨어",학사,경기,체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/a350cb4c-dec4-43df-bec8-592e2e43b36f,슈프리마,DevOps Engineer 모집 (체험형 인턴),신입,데브옵스/인프라,학사,경기,체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b12be065-156f-4c61-acac-005061789713,슈프리마,SW Engineer 모집(체험형 인턴),신입,"소프트웨어 엔지니어, 백엔드",학사,경기,체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3447539a-c02c-40f9-a4ea-c826680821af,슈프리마,Embedded SW Engineer 모집,신입,임베디드 소프트웨어,학사,경기,체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/2af02d93-e9bd-4715-82ae-ac9fc1700d72,이마고웍스,3D 딥러닝 Engineer,경력 무관,"머신러닝 엔지니어, 컴퓨터 비전, 소프트웨어 엔지니어 외 2개",석사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/233a1586-9e8f-489f-998b-f2f580715e4e,풀무원,Frontend 개발자 계약직 채용,5년차 이상,프론트엔드,학사,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/4d3648dc-ea4c-4ae2-8832-0c4908d25230,스픽,Lead Product Analyst,3~5년차,"데이터 사이언티스트, 머신러닝 엔지니어, 프로덕트 매니저(PM) 외 3개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/a490f799-34ef-4c08-94d1-e93b5397beda,넥슨,빌링서비스 백엔드 엔지니어,3년차 이상,"게임서버, 백엔드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/8aa01a71-707e-40db-8e3e-266fc92e858f,넥슨,메이플스토리 개발 PM,1년차 이상,"게임기획, 개발PM",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/644f70a2-4efd-4bb8-8d0b-3ef20110bd9a,넥슨,게임DB SQLServer DBA,경력 무관,DBA,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/2b65aeea-afcf-48a9-b8c3-387fd32176b4,넥슨,NCS개발팀 백엔드엔지니어 (Java),3년차 이상,백엔드,학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/2917bd9c-986e-4efb-9184-457ff544f3ef,넥슨,마비노기 개발 PM,경력 무관,"게임기획, 개발PM",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/e7b1b146-e730-4e0b-8233-519a0e6e6157,넥슨,라이브PM팀 개발PM,1년차 이상,"게임기획, 개발PM",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/12a63140-d558-44f0-ad3f-1ff536c41379,넥슨,플랫폼 SDK개발자 (Windows),3년차 이상,"소프트웨어 엔지니어, 크로스 플랫폼",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/921fb8a0-6f9c-472c-a8b8-358328f5c3fc,넥슨,MacOS Application 개발자,3년차 이상,"게임개발(클라이언트), 소프트웨어 엔지니어, iOS",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/779bd307-aaf9-476a-aa3b-0da577e0e1d7,넥슨,미디어개발팀 웹개발자 (Node.js),3년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/fe22a466-cf03-40af-89c8-5a8feaea6e3a,이마고웍스,서비스 운영 CS/CX 담당자 (Customer Support & Experience Specialist),2년차 이상,"CS, CX매니저, 기술지원",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/930e0b61-0bf5-4f5e-9b28-be00a0855334,한국메티슨특수가스,IT 인프라 구조 인원 채용,1~5년차,"기술지원, 유지보수, 데브옵스/인프라","학사, 초대졸",충남,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/e5bdb770-e5d8-44e4-91d8-54c77a579aa0,ESTgames,2024 산업기능요원 보충역 (클라이언트/서버) 모집,신입,"게임개발(클라이언트), 게임서버, 소프트웨어 엔지니어",학력 무관,서울,산업기능요원,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3a0c89a8-574f-4252-9f2b-edfcb7a63338,스픽,Staff iOS Engineer,8년차 이상,"iOS, 소프트웨어 엔지니어",학력 무관,기타,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/6cd9dbbc-20cb-4aa2-ae98-13ea1362b3e6,스픽,Senior iOS Engineer,5년차 이상,"iOS, 소프트웨어 엔지니어",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/4ece355f-53bb-455d-8c6f-bf6fc6850277,비모소프트,Android 신입 개발자,신입,안드로이드,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/4ece355f-53bb-455d-8c6f-bf6fc6850277,비모소프트,Android 신입 개발자,신입,안드로이드,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/93810ed4-e076-4259-89c3-e012873a9dad,유한화학,IT파트 신입 엔지니어,신입,"기술지원, 유지보수, ERP",학사,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/356cee0c-cb72-417b-aeef-1a31dc34fc88,유한화학,IT파트 엔지니어,2년차 이상,"ERP, 기술지원, 유지보수",학사,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/be7d7f66-838f-449d-b596-b09f2ef6de89,스토어링크,인프라 시스템 엔지니어,3~5년차,데브옵스/인프라,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/09086a30-1088-4cfa-b802-b593ee567732,한국환경보전원,한국환경보전원 채용 공고,경력 무관,"환경, 마케팅, 인사 외 5개",학력 무관,"서울, 경기, 대구, 경남",정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/d7129851-f7b2-41ef-b17f-2649264ed949,누리미디어,시스템 엔지니어 (경력),7년차 이상,데브옵스/인프라,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/30187562-a44b-4081-90ac-5da8176fdb3e,KOTRA,2025년 1기 청년인턴(체험형),경력 무관,"애널리스트, 리스크 관리, 전략기획 외 7개",학사,"서울, 경기, 부산, 대구, 대전, 울산, 강원, 경남, 전북, 충북",체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/2960ee07-6685-408e-99bc-8dded4dbb5ba,토스플레이스,Security Engineer,5~10년차,보안,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/6373d3d5-c286-48f7-b6b6-b030b32ea034,카카오헬스케어,인프라 엔지니어,3년차 이상,"데브옵스/인프라, 클라우드",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0c6819c1-9cb1-4ee8-960e-145579e98588,카카오헬스케어,QA엔지니어,7년차 이상,QA 엔지니어,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/1f986670-651a-44f1-bc9a-06bae5bef4c0,카카오헬스케어,iOS 개발자,3년차 이상,iOS,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/5abc5feb-a596-466f-b1da-443a93cd7b6c,ESTsecurity,악성코드 분석가,경력 무관,보안,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/692968d6-ffe4-4fca-84dc-2957ccb60255,리디,리액트 네이티브 엔지니어 (React Native Engineer),5년차 이상,"안드로이드, iOS, 프론트엔드 외 1개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f4d8890e-6321-4c42-ad86-206c5e44e69c,앤서스랩,AI 소프트웨어 엔지니어,3년차 이상,"머신러닝 엔지니어, 소프트웨어 엔지니어","석사, 학사",서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/49960d98-3bd4-47f3-a9e1-a6a0bca5f6ce,에이아이트릭스,DevOps Engineer,5년차 이상,데브옵스/인프라,학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/05ee5229-da8b-4c08-aad3-f3b97414991d,애커튼파트너스,ERP 컨설턴트 채용,4년차 이상,"컨설턴트, 사업기획, 전략기획 외 1개",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/8a89f0d9-77d9-4ae9-844a-14bd9398cd69,신한EZ손해보험,채널 시스템 풀스택 엔지니어,7년차 이상,"프론트엔드, 백엔드",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/bb86957b-cb9b-478e-9f5d-a309d4484ef5,아이샵케어,총무/보안담당자,2~5년차,"총무, 사무직, 보안",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/6b9b29b8-dd13-48f6-be04-a7404c96152e,삼성화재,"기획, 디자이너, 퍼블리셔",4년차 이상,"보험상담, 기획, 서비스 기획 외 1개",학력 무관,"경기, 인천",계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0f61fe9b-17ce-47ed-80ed-4dd81b64969a,컴투스,MMORPG QA 엔지니어,경력 무관,"QA·테스터, QA 엔지니어",학력 무관,서울,계약직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/cf7bc3a5-1ad2-4a7d-a164-3f99826b092b,더트라이브,프론트엔드 인턴,경력 무관,프론트엔드,학력 무관,서울,체험형 인턴,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f90e19af-60b9-4ae5-81f9-0162ccc173c9,네이버웹툰,웹툰 앱 공통 iOS 개발 (경력),1년차 이상,iOS,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/16db4547-bfc0-40fa-a1b6-3dce758efb9a,라인플러스,Backend Software Engineer (ObservabilityEngineering),5년차 이상,백엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/520cd992-c040-4f60-b7b9-72313f34dbec,엔아이티서비스,NAVER 서비스 보안진단,경력 무관,보안,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f415d3f9-b855-4bf0-b636-8970578f4d39,라인플러스,LINE 메신저 서버 엔지니어,2년차 이상,소프트웨어 엔지니어,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/dc21547c-b41d-4fad-9e16-e9bc088b3ee2,라인플러스,Corporate Information Systems Developer (사내정보시스템),5년차 이상,소프트웨어 엔지니어,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/f7d08818-2b37-45d3-a396-fa130b33f26c,라인플러스,HRSystem Developer,5년차 이상,소프트웨어 엔지니어,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/4b290a35-af99-4f1e-a05b-ac1811eeedf1,라인플러스,Fintech Service Web Frontend Engineer,3년차 이상,프론트엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/ae00475f-1422-49df-8f4e-bc63fdd7f3d9,라인플러스,Backend Engineer,경력 무관,백엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/23d12ac7-94c1-4e86-b436-f5fc6f06d1b3,세방,2025년1월 이앤에스글로벌(주)경력직 채용,5~6년차,"경영지원, 재무, 회계 외 2개",학사,"서울, 경기",정규직,https://zighang.com/header_logo.svg,logo,
