['solidity']	['dapp', 'core']
['qa', 'pm', 'redmine']	['rtb', 'programmatic', 'aws', 'public', 'cloud', 'mvp', 'sdlc']
['customer', 'preminfrastructureengineer', 'devops', 'prem', 'premise', 'linux', 'windows', 'ai']	['sdlc', 'mvp', 'aws', 'public', 'cloud']
['cve', 'edb', 'tas', 'web', 'application']	['mvp', 'aws', 'public', 'cloud']
['aws', 'gcp', 'cloud', 'native', 'scheduler', 'prefect', 'oozie', 'cs', 'os']	['databricks', 'delta', 'lake', 'iceberg', 'hudi', 'lakehouse', 'eco', 'system']
['acon', 'boot', 'kotlin', 'legacy', 'ex', 'press.js', 'aws', 'argocd', 'azure', 'apache', 'amazon', 'opensearch', 'data', 'jpa', 'querydsl', 'oop', 'restful', 'api', 'rdbms']	['django', 'framework', 'amazon', 'athena', 'dynamodb']
['tcp', 'ip', 'shell', 'script', 'git', 'mantis', 'gerrit', 'linux', 'kernel']	['ai', 'database', 'rdb', 'non']
['mvp', 'api']	['db', 'schema', 'rest', 'api', 'al', 'ml', 'elastic', 'stack', 'pm', 'certified', 'engineer', 'tuning', 'component']
['sql']	['react', 'next', 'js', 'framework', 'mongo', 'db', 'nosql', 'mvp', 'contents', 'editor']
['next.js', 'react', 'jest', 'ui', 'ux', 'css', 'figma', 'vue.js', 'datadog', 'rum', 'sentry', 'google', 'analytics']	['mvp', 'qa', 'istqb', 'csts', 'ai', 'api', 'postman']
['api', 'software', 'backend', 'database', 'rdb', 'nosql', 'html', 'css', 'frontend']	['repository', 'pattern', 'mvvm', 'clean', 'architecture', 'compose', 'unit', 'mocking', 'webrtc']
['wpf', 'ui', 'ux', 'git']	['nosql', 'data', 'system', 'engineering']
['etpip.com', 'web', 'sns', 'digital', 'contents', 'creator', 'token', 'unbounded', 'global', 'micoropayment', 'neutral', 'database', 'login', 'less', 'frictionless', 'ux', 'coinbase', 'ventures', 'galaxy', 'alameda', 'research', 'cms', 'hodings', 'genesis', 'block', 'vc', 'react', 'html', 'css', 'sass', 'rest', 'api', 'websocket', 'git']	['end', 'process']
['golang', 'flutter']	['aws', 'rag', 'cv', 'ml']
['etpip.com', 'web', 'sns', 'digital', 'contents', 'creator', 'token', 'unbounded', 'global', 'micoropayment', 'neutral', 'database', 'login', 'less', 'frictionless', 'ux', 'coinbase', 'ventures', 'galaxy', 'alameda', 'research', 'cms', 'hodings', 'genesis', 'block', 'vc', 'aws', 'linux', 'tdd']	['ml']
['three.js', 'ai', 'ui', 'ux', 'webgl', 'react']	['flux', 'next.js', 'ssr', 'ssg', 'isr', 'webview', 'bridge', 'interface', 'unit']
['framework', 'kotlin', 'boot', 'aws', 'backend', 'database', 'rdb', 'nosql', 'msa', 'rest']	['mvp', 'qa', 'istqb', 'csts', 'ai', 'api', 'postman', 'jmeter']
['bff', 'backend', 'frontend', 'react', 'ssr', 'msa', 'spa', 'framework']	['operation', 'compiler', 'interpreter']
['app']	['aws', 'nosql', 'dynamodb', 'cqrs']
['programmatic', 'buying', 'automated', 'buyingreal', 'time', 'bidding', 'rtb', 'data', 'driven', 'targetingreporting', 'analytics', 'api', 'ml', 'backend', 'kotlin', 'dsp', 'ssp', 'dmp', 'ads', 'server', 'sql', 'nosql']	['kotlin', 'objdump', 'library', 'debugging']
['msa', 're', 'architecting', 'framework', 'kotlin', 'rdbms', 'nosql']	['vision', 'ai']
['data', 'analyst', 'intern', 'scientist', 'kpi', 'sql', 'raw']	['express', 'next.js', 'aws']
['api', 'msa', 're', 'architecting', 'framework', 'kotlin', 'golang', 'public', 'cloud', 'sdlc']	['api', 'aws', 'devops']
['tb', 'ai', 'gpt', 'os', 'cs', 'git', 'branch', 'sql', 'aws', 'de', 'sqldatabricks', 'glue', 'athena', 'mskapache', 'apache', 'sparkdatahub']	['restful', 'api']
['offline', 'online']	['postman', 'charles', 'qa', 'api']
['cms', 'aws', 'gcp', 'azure', 'django', 'framework']	['compose', 'ci', 'cd', 'unit', 'test', 'ui']
['ai', 'sw', 'system', 'machine', 'vision', 'model', 'css', 'fullstack', 'rdbms', 'db', 'aws', 'cloud', 'server', 'database']	['please', 'refer', 'above', 'descri', 'ption.']
['rdbms', 'nosql', 'cloud', 'aws', 'gcp', 'azure', 'linux', 'server', 'db']	['location', 'based', 'service', 'ui', 'html', 'css', 'aws', 'gcp']
['ads', 'api', 'software', 'backend', 'database', 'rdb', 'nosql', 'html', 'css', 'frontend']	['google', 'app', 'architecture', 'multi', 'module']
['dicom', 'processor', 'application']	['sass', 'scss', 'ui']
['qa']	['aws', 'ncloud', 'dag', 'tdd', 'tech', 'specs', 'pythoncelerydjangounittest', 'pytest']
['azar', 'studio', 'responsibilities', 'feature', 'api', 'qa', 'weak', 'code', 'ownership', 'collective', 'review', 'pull', 'request', 'troubleshooting', 'crash', 'responsiveness', 'architectural', 'improvement', 'android', 'kotlin', 'jvm', 'cs', 'rxjava', 'coroutine', 'thread', 'safe', 'git']	['next.js']
['commerce', 'content', 'serving']	['django', 'aws', 'gcp', 'terraform']
['offline', 'online', 'ai', 'ml']	['ecs', 'entity', 'component', 'system', 'kotlin', 'mvc', 'jpa', 'db', 'flutter', 'streams']
['ml', 'text', 'image', 'room', 'plan', 'etc.', 'vlm', 'diffusion', 'llm']	['please', 'refer', 'description', 'above.']
['etl', 'e.g.', 'public', 'cloud']	['lean', 'startup', 'growth', 'hacking', 'aws', 'azure', 'gcp', 'agile']
['react', 'monorepo', 'next.js', 'html', 'css', 'es']	['crm', 'erp', 'ex.', 'api', 'axios', 'jest', 'esbuild', 'swc', 'babel']
['ai', 'cctv', 'edge', 'cvpr', 'mobile', 'challenge', 'xiaomi', 'huawei', 'intel', 'microsoft', 'arm', 'compression', 'artifact', 'reduction', 'provider', 'compiler', 'optimium', 'mediapipe', 'cortex', 'qualcomm', 'kryo', 'cpu', 'qrb', 'single', 'thread', 'float', 'tflite', 'xnnpack', 'ryzen', 'openvino', 'isp', 'image', 'signal', 'processor', 'rule', 'based', 'noise', 'nr', 'channel', 'enerzaiinc', 'radar', 'legacy', 'needs', 'roa', 'rear', 'occupant', 'alert', 'sbr', 'seat', 'belt', 'reminder', 'pm', 'patient', 'monitoring', 'cy', 'objug', 'vc', 'springcamp', 'seed', 'seoulz', 'top', 'tips', 'vision', 'alliance', 'workshop', 'challenges', 'megvii', 'dahua', 'global', 'lab', 'outside', 'builder', 'sk', 'true', 'innovation', 'gold', 'tier', 'partner', 'iot', 'accelerator', 'series', 'kdb', 'nextone', 'post', 'nvidia', 'inception', 'device', 'targeted', 'virtual', 'machine', 'parser', 'lexer', 'type', 'inference', 'algorithm', 'amx', 'intrinsic', 'technique', 'mlir', 'optimizing', 'ml', 'dsp', 'npu', 'appreprocessing', 'procedure', 'deep', 'learning', 'kernel', 'ap', 'haskell']	['nginx', 'postgres', 'linux', 'container', 'cloud', 'service', 'aws', 'gcp', 'azure', 'deep', 'learning', 'pipeline']
['kotlin', 'framework', 'git', 'rdbms']	['ci', 'cd', 'microservice', 'container', 'serverless', 'system']
['msa', 'ai', 'kotlin', 'jvm', 'rdbms', 'db', 'linux', 'unix']	['vtune', 'profiler']
['cctv', 'edge', 'ai', 'cvpr', 'mobile', 'challenge', 'xiaomi', 'huawei', 'intel', 'microsoft', 'arm', 'compression', 'artifact', 'reduction', 'provider', 'compiler', 'optimium', 'mediapipe', 'cortex', 'qualcomm', 'kryo', 'cpu', 'qrb', 'single', 'thread', 'float', 'tflite', 'xnnpack', 'ryzen', 'openvino', 'isp', 'image', 'signal', 'processor', 'rule', 'based', 'noise', 'nr', 'channel', 'enerzaiinc', 'radar', 'legacy', 'needs', 'roa', 'rear', 'occupant', 'alert', 'sbr', 'seat', 'belt', 'reminder', 'pm', 'patient', 'monitoring', 'cy', 'objug', 'vc', 'springcamp', 'seed', 'seoulz', 'top', 'tips', 'vision', 'alliance', 'workshop', 'challenges', 'megvii', 'dahua', 'global', 'lab', 'outside', 'builder', 'sk', 'true', 'innovation', 'gold', 'tier', 'partner', 'iot', 'accelerator', 'series', 'kdb', 'nextone', 'post', 'nvidia', 'inception', 'proprietary', 'runtime', 'device', 'communication', 'interface', 'ssh', 'adb', 'tcp', 'ip', 'packet', 'rpc', 'parallel', 'programmingmultithread', 'programminggpu', 'binding', 'vulkan', 'spir', 'api', 'memory', 'planning', 'execution', 'scheduling', 'os', 'android', 'ios', 'linux', 'ex']	['rdbms', 'webflux', 'ci', 'cd', 'logging', 'backup', 'monitoring']
['ene', 'end', 'msa', 'ai', 'kotlin', 'jvm', 'rdbms', 'db', 'linux', 'unix']	['ai', 'serving', 'tacotron', 'fastspeech', 'ml', 'top', 'tier', 'publication', 'challenge', 'kaggle', 'hackathon']
['sdk', 'api', 'vision', 'ai', 'html', 'networking', 'data', 'structure', 'os', 'backend']	['react', 'hooks', 'css', 'js', 'sass', 'styled', 'component', 'ssr', 'next.js']
['next.js', 'react']	['cloud', 'platform', 'aws', 'ncp', 'etc', 'open', 'source', 'library']
['api', 'node.js', 'next.js']	['aws', 'erp']
['node.js', 'next.js', 'react']	['cka', 'ckad']
['react']	['epub', 'mvvm', 'clean', 'architecture', 'react']
['android', 'ios', 'app', 'qa', 'native', 'web', 'mobile']	['van', 'pg', 'aws']
['android', 'kotlin', 'mvvm', 'clean', 'architecture']	['aws', 'tdd', 'ci', 'cd']
['proprietary', 'trading', 'firm', 'low', 'latency', 'system', 'modern', 'saccade', 'capital', 'with', 'offices', 'hong', 'kong', 'singapore', 'seoul', 'dubai', 'business', 'interests', 'multiple', 'locations', 'across', 'gl', 'obe.', 'are', 'electronic', 'market', 'makers', 'liquidity', 'providers', 'various', 'asset', 'clas', 'ses.', 'there', 'two', 'main', 'principles', 'govern', 'our', 'machine', 'led', 'company', 'humans', 'decisions', 'people', 'recognize', 'ever', 'be', 'depend', 'these', 'leverage', 'each', 'other', 'provide', 'wide', 'range', 'opportunities', 'latitude', 'multidiscipline', 'engagement', 'technologists', 'very', 'much', 'unparalleled', 'arket.', 'role', 'extensive', 'reach', 'must', 'self', 'motivated', 'individual', 'excellent', 'critical', 'thinking', 'risk', 'based', 'approach', 'over', 'technology', 'operational', 'ma', 'tters.', 'attributes', 'attack', 'core', 'challenges', 'collectively', 'maintain', 'enhance', 'code', 'base', 'convert', 'occurrences', 'into', 'using', 'best', 'practices', 'design', 'build', 'maintenance', 'ideas', 'research', 'platform', 'features', 'tools', 'requirements', 'programming', 'skills', 'experience', 'linux', 'distributed', 'computing', 'handling', 'large', 'data', 'sets', 'tuning', 'software', 'performance', 'strong', 'problem', 'solving', 'please', 'refer', 'above', 'descri', 'ption.']	['max', 'bleder']
['kotlin', 'aws', 'dynamodb', 'athena', 'elastic', 'git', 'cdk', 'framework', 'restful', 'api', 'sql', 'linux']	['microsoft', 'aad', 'teams', 'sharepoint', 'onedrive', 'exchange']
['csr', 'ssr', 'react', 'vue', 'map', 'ios', 'web', 'context', 'api', 'ux', 'ui', 'restful']	['ccna', 'ccnp']
['saas', 'shopl', 'android', 'sqaud', 'squad', 'jetpack', 'compose', 'design', 'syetem', 'system', 'ui', 'google', 'app', 'architecture', 'git', 'pr', 'continuous', 'delivery', 'coroutine']	['gds', 'ota']
['react', 'html', 'scss', 'toolkit', 'git', 'sass', 'ui', 'hooks', 'toolkittypescriptsass', 'step', 'contact']	['rdbms', 'ci', 'cd', 'logging', 'backup', 'monitoring']
['mission', 'payroll', 'agent', 'django', 'google', 'rd', 'party', 'api', 'ci', 'cd']	['jest', 'cloud', 'aws']
['frontend', 'html', 'css', 'es']	['newsql', 'nosql', 'dynamodb']
['next.js', 'aws', 'react.js', 'git', 'restful', 'api', 'html', 'css']	['crm', 'erp', 'multi', 'tenant', 'saas', 'tdd']
['kakao', 'ip', 'aws', 'terraform', 'datadog', 'sentryci', 'cd', 'actions', 'argocd', 'django', 'api', 'gcp', 'pdf']	['dba', 'os', 'linux', 'network', 'aws', 'cloud', 'nosql']
['linux', 'tcp', 'connection', 'session', 'reverse', 'engineering', 'packet', 'tool']	['gcp', 'aws', 'api', 'ai', 'triton', 'server', 'tensorrt', 'onnx', 'mlops', 'prompt', 'engineering', 'llm', 'visual', 'question', 'answering', 'top', 'tier', 'publication', 'neurips', 'icml', 'iclr', 'aaai', 'ijcai', 'acm', 'mm', 'nlp', 'acl', 'emnlp', 'naacl', 'speech', 'interspeech', 'icassp', 'computer', 'vision', 'cvpr', 'iccv', 'eccv', 'challenge']
['mmorpg', 'os']	['scm', 'srm', 'msa', 'azure', 'aws', 'vendor', 'cloud']
['vdi']	['ccna', 'ccnp', 'cisco', 'radware']
['proprietary', 'trading', 'firm', 'stem', 'saccade', 'capital', 'with', 'offices', 'hong', 'kong', 'singapore', 'seoul', 'dubai', 'business', 'interests', 'multiple', 'locations', 'across', 'gl', 'obe.', 'are', 'electronic', 'market', 'makers', 'liquidity', 'providers', 'various', 'asset', 'cl', 'asses.', 'there', 'two', 'main', 'principles', 'govern', 'our', 'machine', 'led', 'company', 'humans', 'decisions', 'people', 'recognize', 'ever', 'bem', 'depend', 'these', 'leverage', 'each', 'other', 'provide', 'wide', 'range', 'opportunities', 'latitude', 'multidiscipline', 'engagement', 'technologists', 'very', 'much', 'unparalleled', 'arket.this', 'role', 'extensive', 'reach', 'must', 'self', 'motivated', 'individual', 'excellent', 'critical', 'thinking', 'risk', 'based', 'approach', 'over', 'technology', 'operational', 'ma', 'tters.', 'attributes', 'predictive', 'signal', 'modeling', 'implementation', 'via', 'learning', 'techniques', 'statistical', 'analysis', 'methods', 'create', 'implement', 'mathematical', 'new', 'existing', 'strategies', 'identify', 'capture', 'automate', 'any', 'remaining', 'human', 'lead', 'collaborate', 'software', 'engineers', 'strategy', 'ation.', 'requirements', 'expert', 'level', 'plus', 'degree', 'top', 'university', 'technical', 'discipl', 'ine.', 'bachelor', 'master', 'phd', 'course', 'physics', 'statistics', 'computer', 'science', 'engineering', 'mathematics', 'focus', 'experience', 'applying', 'algorithms', 'traditional', 'problems', 'timely', 'manner', 'handling', 'large', 'data', 'sets', 'strong', 'problem', 'solving', 'skills', 'ability', 'work', 'small', 'teams', 'good', 'communication', 'debate', 'own', 'ideas', 'peers', 'productive', 'healthy', 'way.', 'please', 'refer', 'above', 'descri', 'ption.']	['dynamodb', 'aws', 'code', 'level', 'architecture', 'layered', 'hexagonal']
['api', 'mvp', 'agile', 'ci', 'cd', 'devops', 'kotlin']	['legacy', 'unit', 'integration', 'accessibility', 'seo', 'frontend', 'operation', 'ci', 'cd']
['proprietary', 'trading', 'firm', 'low', 'latency', 'system', 'modern', 'saccade', 'capital', 'with', 'offices', 'hong', 'kong', 'singapore', 'seoul', 'dubai', 'business', 'interests', 'multiple', 'locations', 'across', 'gl', 'obe.', 'are', 'electronic', 'market', 'makers', 'liquidity', 'providers', 'various', 'asset', 'clas', 'ses.', 'there', 'two', 'main', 'principles', 'govern', 'our', 'machine', 'led', 'company', 'humans', 'decisions', 'people', 'comp', 'any.', 'recognize', 'ever', 'be', 'depend', 'eople.', 'these', 'leverage', 'each', 'other', 'provide', 'wide', 'range', 'opportunities', 'latitude', 'multidiscipline', 'engagement', 'technologists', 'very', 'much', 'unparalleled', 'arket.', 'role', 'extensive', 'reach', 'must', 'self', 'motivated', 'individual', 'excellent', 'critical', 'thinking', 'risk', 'based', 'approach', 'over', 'technology', 'operational', 'ma', 'tters.', 'attributes', 'attack', 'core', 'challenges', 'collectively', 'maintain', 'enhance', 'code', 'base', 'convert', 'occurrences', 'into', 'using', 'best', 'practices', 'design', 'build', 'maintenance', 'ideas', 'research', 'platform', 'features', 'tools', 'requirements', 'programming', 'skills', 'experience', 'linux', 'distributed', 'computing', 'handling', 'large', 'data', 'sets', 'tuning', 'software', 'performance', 'strong', 'problem', 'solving', 'please', 'refer', 'description', 'above.']	['jest']
['ai', 'llm', 'django', 'node.js', 'boot', 'rdbms', 'nosql', 'db']	['vue', 'js']
['api', 'gateway', 'edge', 'ai', 'cs']	['library']
['saas', 'react', 'next.js', 'css', 'npm', 'webpack', 'git', 'ui', 'ux', 'agile', 'ci', 'cd']	['tdd']
['nginx', 'django', 'latency', 'throughput', 'aws', 'gcp', 'azure', 'microservice', 'ai', 'model', 'os', 'linux', 'command', 'shell', 'script', 'db', 'tcp', 'kernel', 'option', 'stack', 'rdb', 'nosql']	['dynamic', 'pricing']
['api', 'aws', 'lambda', 'node.js', 'backend', 'http', 'json', 'restful', 'es', 'async', 'await', 'promise', 'gem', 'npm', 'pip', 'pair', 'programming', 'code', 'review']	['geojson', 'gis', 'mapbox', 'leaflet', 'three', 'js', 'webgl']
['boot', 'app', 'devops', 'jpa', 'querydsl', 'git']	['ui', 'ux', 'ai', 'vision']
